"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99"
"B.cells.naive",0.0372423840097731,-0.153742950738121,-0.0287122378371944,-0.0196197754087237,-0.156813801537911,0.0645307950744075,-0.0227812744469477,-0.00936167036556071,-0.0891576750948429,-0.0169188097298232,-0.0536169704428923,0.0633061231803091,-0.0628090272670347,-0.052039417772236,-0.0811113315968132,0.0493189759559368,-0.041405272614097,-0.0718030890784575,-0.0424373995862252,-0.0434187517772222,-0.0328103987107006,-0.0766008504390121,-0.0717580429845751,-0.00360481908243362,-0.0452234233060605,-0.0605636660157728,0.00443345629604803,0.0675019321652473,-0.112063257857001,-0.132667751716241,0.0770820980268733,-0.0918038596962916,-0.0221257471110886,-0.0722494862466623,-0.0577821466460315,-0.128734509409768,0.0445714177818467,-0.102238479990802,-0.00968372358456784,-0.0194359094687092,-0.0151555650434453,0.00601182193615105,-0.0554457056834427,-0.012461190764608,-0.120627241370652,-0.121971914671627,0.0687972771598265,0.034084577226901,-0.00463346991986381,0.0546202464736147,-0.0380665140594735,-0.0534839174316492,-0.0268048820052552,-0.036131648318329,0.000633221183422743,-0.0244582392235704,0.0184977967074798,-0.0493541017670592,0.12383130786831,0.166240193779192,-0.0639032827379901,-0.0589675014504727,-0.121860215282715,-0.0122588291711376,-0.0792895372025797,-0.118034223832872,-0.0348134079799574,-0.0322443083235698,-0.0942474882185435,-0.128599394073157,-0.000417883165392116,-0.115631521645587,0.0672676761879071,-0.0145013424344776,-0.083040285123642,-0.0390613456516255,-0.0344680211452452,-0.0603824846785595,-0.0111429316426599,0.0688712197113106,-0.0431685279108668,-0.0141651341283461,-0.0570800082122259,-0.0364250399142416,0.00737061551770332,-0.0878094521052904,-0.00971775266651618,0.0182194968116892,-0.0566405636294936,-0.122306983140065,-0.120843151462526,-0.120854652179457,-0.123325826284689,-0.0498497700686941,-0.0289067238035359,-0.021297649189746,-0.101663900609245,-0.0209016378270793,-0.00484734188583095,0.0369241048293379
"B.cells.memory",-0.0342265153822071,0.0781153231174955,-0.15958058277839,0.141531921170947,0.00250780718520692,0.12925646683166,-0.0392759132504455,0.125190883959143,0.0515447110093596,-0.0706399767902309,0.0450914524505178,0.0919842672565251,0.0112379983882684,0.102226849310826,0.0695017365278877,0.0160864038038947,0.0288237807580651,0.175651158408048,0.195402158627793,0.0778619631368408,0.0214637357118024,0.113644814742094,0.0163915063488668,0.196748303628325,0.048687562058395,-0.00755847925234244,-0.0957190147922778,0.0248944422859275,0.204604786980879,-0.0658542489232374,0.0763022690877604,0.166379068496539,0.173411663253797,0.0385447501041909,-0.0448690135939374,0.0515057093777853,0.0997704245712073,0.0805016843425389,0.12752267082412,-0.00771122049526033,0.260527813927297,0.0726215840675041,-0.0798182091898969,0.0399942887189678,0.0452802063740694,0.0758991468251502,0.0351342352450203,0.0744372565764871,0.0308385557148507,-0.0630105940823957,0.115658710448284,-0.0333324555449352,-0.0039338776491982,0.113354943949095,0.110031236491842,0.025765825533852,0.0685253840803043,-0.00956751111082218,0.0905442598039777,0.155117794196211,-0.0395600465481094,0.00336328083410678,0.0979426690149726,0.10455068112924,0.000295081986661473,0.0127799290712953,0.013876668362918,0.109806072833577,-0.0436371006488002,0.0712090833491196,0.0372384382101642,0.00668999794550241,0.0657464610771211,0.000625435885790953,-0.0760980819297448,0.158386426377629,0.0474431912388432,0.0730335839595387,-0.052744156139399,-0.0105075242694966,0.0113876361522694,0.118830280706265,0.0472286562401493,-0.0157217833265531,-0.0395930196859086,0.222365138445378,0.0779412704807272,0.0815497287900821,0.0893951438293641,0.0667334873161236,-0.0406878022684193,-0.0308944554724011,0.00549776030206021,0.0973044021498101,0.104273061228243,0.00998630725673764,0.0350692786333685,0.102353535267133,-0.0426592181006039,0.137495081129983
"T.cells.CD8",0.0365075598557337,0.159228184275831,0.179813310569099,0.0425581939531793,0.124521713690387,-0.111677104489793,0.0836959027758248,0.00309164663728255,-0.120910924780689,0.00599851214115467,-0.0367272246907544,0.0375439874761111,0.0718144143811468,0.125165674380659,-0.00514442302719371,0.0246197364446758,0.0641882317952131,-0.0907852013847582,0.095071121930321,0.0815595545547006,-0.0357894409712939,0.0460127993204549,-0.123592567158711,0.0680423355569192,-0.0075819726883766,-0.0235940775477892,0.0653164612497989,0.103888056969399,0.133490359970161,0.0820449838689419,0.0411928504340379,0.0166338487183408,-0.039328341841269,0.0513756349044613,0.0218382759740834,0.0567840457228653,-0.0736108937581304,-0.0127417814645733,0.0657376875742581,-0.0926681669375015,-0.204144425891654,-0.0371542866418548,0.0115000449267926,0.0165031321537783,-0.0632602354051534,0.114829531067227,0.0217267819994347,0.0545053799918709,-0.0254802688456583,-0.0748163570059908,0.0972244855559194,0.160825828827126,0.0583220487329219,0.153995426218979,-0.0182795656166502,0.0296409457024776,0.0603599773286456,0.0490908332448148,0.124632135864935,-0.0167867509496379,0.118819000810572,0.0342021083345463,0.0103450140700278,0.0678927685622048,0.118787271010794,0.0570986446930912,-0.1073703189297,0.0664841479562457,0.0420198599068931,0.0243994158035349,0.04662622657793,-0.0351549634519656,0.0714451186833676,0.122959334363178,0.0145321821185579,0.0930308080147704,0.0198836613708682,0.0399362529024593,0.0223203661756855,0.0649397111082075,0.0100498728143613,0.100168505480677,-0.0219057346371289,0.0373200293110441,-0.00223408720361532,0.0358173055931216,-0.0121519951579594,0.094783034692398,0.0152172853064451,-0.0454956482568899,0.0597792379155278,0.0272911918655563,0.162892794584345,0.0290498994851501,0.168320327764658,-0.0357625496829333,-0.0347308898890397,0.0200114781653862,-0.0195329054969784,0.010422262281216
"T.cells.CD4.naive",0.791449278625042,0.791279962360263,0.793825942776617,0.795855574108346,0.794244065413948,0.79467271412919,0.794536980904558,0.79517917932683,0.793388416117334,0.793881067804786,0.793953537411384,0.793314583026909,0.792639604282388,0.795174936333856,0.79420407910201,0.79285224071805,0.793484852251867,0.792567064000494,0.795735160574845,0.793557388785757,0.790863975294948,0.79224767545212,0.792552948075009,0.793887588233103,0.793432579098373,0.789199955284695,0.792974317613635,0.794967349663388,0.792799832164255,0.792936854908231,0.792891501287915,0.79144725971346,0.792401574108394,0.793114569376337,0.793408792018246,0.792302912479245,0.792432841668872,0.786847776935959,0.794136633520234,0.791623772805598,0.790749732838373,0.791179266645022,0.793253029918578,0.791746847307441,0.78928998006122,0.792007071357787,0.793642434272554,0.793727663013367,0.792982631559105,0.79290095360191,0.793598231590781,0.791659047238643,0.793711259016468,0.792743271554829,0.794623680359926,0.79407238474929,0.79495809969789,0.795247588297342,0.79315827499127,0.791429767541948,0.793565698730005,0.792399947969363,0.795055584559228,0.794140217683885,0.793285273708109,0.793413760323059,0.792680263585256,0.794311751306972,0.789418523511848,0.79414233637193,0.794778092972584,0.791313099650103,0.791011503164048,0.793361632577508,0.793863580398231,0.79344820361071,0.793895998557116,0.795154756163508,0.792858536557226,0.795238797591385,0.792359402710783,0.793554549038006,0.792307897329205,0.79211206590514,0.792697821328414,0.79437835241873,0.794458514608025,0.795173727134129,0.792885546050604,0.791666841713326,0.791853638385503,0.790927953896676,0.794249353745508,0.795312108666651,0.792095351797878,0.794283939666988,0.790476865612423,0.793201506570245,0.791482626969356,0.794264276023106
"T.cells.CD4.memory.resting",0.2302368370287,0.212439056471142,0.23598002092766,0.197616564632211,0.226317574782166,0.182299074079094,0.198248988120258,0.257846955705376,0.169655461569143,0.184664869242879,0.245691837134057,0.184313547712732,0.253105842154862,0.239860680881928,0.223229983461245,0.162876828277894,0.147566693107939,0.173125711636686,0.254353575999297,0.222384613715303,0.134331593534111,0.230940167417693,0.213925714866255,0.204567457588901,0.213321974580963,0.202944429032265,0.25293562544171,0.200324230756839,0.190195382882186,0.26076193267969,0.222164278780308,0.194103061955255,0.232662804417589,0.231819566849739,0.261683508262301,0.172822591935475,0.167205859683309,0.191240947275398,0.207530725719923,0.181436397249492,0.185027539724966,0.186822355057608,0.209195368493481,0.198195822220651,0.190268861349847,0.187302074960031,0.194034800731063,0.270519380202021,0.206951784194153,0.22863950551744,0.232897045944775,0.147913706422981,0.191380871686662,0.210587868460395,0.277427172807007,0.187725115761814,0.248007886237299,0.278399193193122,0.229505974619498,0.171087071337958,0.16452491196846,0.233508777934201,0.222202651239846,0.168795178506945,0.218170974095738,0.25363935572388,0.162704333967698,0.195916431225799,0.176489064071866,0.20472524840263,0.186962477137803,0.223261456457497,0.189681177051763,0.146126949769014,0.214640735739133,0.291529422871686,0.154616988372216,0.296647642213111,0.206458593550936,0.240983085309237,0.24022477017149,0.2670019388362,0.177824837963971,0.137318511356802,0.189296877422552,0.261644583678116,0.19751677805985,0.201165838204418,0.247671104689573,0.235029510704499,0.216552561914792,0.24848804956508,0.239180776519446,0.262345639555793,0.196385113540348,0.220051328040584,0.0972610467391948,0.205351688138317,0.211651611415865,0.214124625461412
"T.cells.CD4.memory.activated",0.439575594620259,0.426100495968652,0.411016923871224,0.438813874716312,0.392135268268022,0.27880243028039,0.377344264510429,0.477457599433146,0.364502772498066,0.3616078813997,0.44291229169032,0.426964783536763,0.416975525027574,0.510800963304355,0.401085037917785,0.33801652846283,0.502552746543505,0.451353956878281,0.463260897360083,0.388935139912969,0.430066654242446,0.397417155245591,0.348348319983677,0.386982636136237,0.418060699285798,0.513831300112744,0.425183140225191,0.407329064785853,0.463998911553239,0.407341674199488,0.474568359433028,0.394622246872401,0.428730288820198,0.473590360185372,0.448748989548788,0.358525416388203,0.39379308075332,0.459200982733199,0.491630939857115,0.463435639145819,0.363089626984375,0.401970653367202,0.488264363740784,0.393898850565774,0.458999282811209,0.489115545147401,0.433261980758615,0.463585953840515,0.473339562966268,0.376593532618532,0.402083297202619,0.442282523681246,0.403062758371332,0.390624624623293,0.42516440401926,0.331071403371907,0.437237992887709,0.388339132381205,0.425227870119052,0.461420007558132,0.3052943170932,0.445931055260613,0.459952152314439,0.439436190524921,0.367582198705262,0.486707566919976,0.423879496289663,0.391324987211138,0.301710139105316,0.457550525192277,0.445308530022571,0.373231587658144,0.401792284898866,0.460801935181041,0.491701601084488,0.487195891454527,0.409266913097837,0.473991753924603,0.376296335850123,0.457618386091842,0.444304983759217,0.383162672169992,0.33042023752744,0.411008202599385,0.364396151417608,0.429751440107627,0.424506295497587,0.416951434587052,0.442073268210355,0.396621757232544,0.435447878642778,0.305231260722434,0.483442915482249,0.381827919606118,0.362923183712419,0.457453969053586,0.433417260111143,0.40838208811596,0.404258663071318,0.49346882673735
"T.cells.gamma.delta",0.0300493785017542,0.135543529558206,0.0827150999430475,0.00498891592409762,0.169751887747898,0.00739483502344935,0.095593013215542,0.0225451296196526,0.0312037486390487,0.0726541563059978,0.0563016922125678,0.00722732525538862,0.0743507722663909,0.11522254919694,0.075427250296642,0.0354492855371319,0.0429412589166352,0.0811768081789487,0.0225836080644891,0.0350689150629983,0.0233822037226022,-0.0959249255958154,0.0577718530917662,0.0853936585164707,0.101450314086007,-0.0289715711769062,-0.0151072113621112,0.0896163057032047,0.0954763128822475,0.120808981700105,0.0704060465517084,0.0930443494886273,0.10144256222569,0.0669042661855755,0.0759474300379701,0.114934229251843,0.0484107932822665,0.0950221016128893,0.0903826064951759,0.0724896812328512,0.0976469335433943,-0.0527952599893567,0.0550651593116317,0.103733451384428,0.0346756853578718,-0.029104558014525,0.103538619850614,0.0956435364392463,-0.0257519538811994,0.0835394111055204,0.0414055875496005,0.101537155026483,0.100142122906437,0.0951014698898379,0.0604800011020545,0.0387042829610087,0.0794826541011198,0.125852029056447,-0.00588842414919444,0.0350864877478266,0.0981502595335813,0.120579419186127,0.0975956018557222,0.122455066705887,0.070304978566876,0.112281985196546,0.106135481055338,0.0392716143184803,0.0537284755527201,0.0519118088887014,0.121958073496547,0.0548134494387231,0.00303373820724677,0.0805479204699284,0.139568132039133,0.0557349788439908,0.0320248453020224,0.101853738036233,0.0918736806248696,0.0402380081987702,0.0781692823728644,0.0464561032934693,0.148740372534869,0.0599395285347366,0.0688940707180282,0.0429856272307579,0.0537705224556116,0.0987864581733374,0.109175089037809,0.112471760295844,0.112237673216435,0.0143374630284819,0.0657193538161291,0.102831154963084,0.0943185341333874,0.0318435744390072,0.00344863269679149,0.0447270713628413,0.0234719606821866,0.104263859619567
"NK.cells.resting",0.236438983613546,0.255412790276988,0.266346969348363,0.173030505783352,0.252507854836313,0.325955812797981,0.290455523248364,0.219453389046354,0.285714974918887,0.2020805406416,0.277508157438067,0.265227529538795,0.1774040116789,0.265595474476916,0.262898075952541,0.189000503620663,0.26994714152829,0.213813627867623,0.189559910826115,0.220551986510493,0.269626324492513,0.200635196892129,0.159590352642834,0.18637652320222,0.296118844186042,0.270279382878761,0.232613072620716,0.297175084821581,0.244483104409223,0.167593601440193,0.26392617259935,0.235473049460181,0.33459929439945,0.205124343375777,0.208215788615545,0.26562016000661,0.224807001165235,0.254897884750648,0.176496342735261,0.164388898358756,0.254063947337933,0.248876206017491,0.183439499819699,0.195647026584151,0.266324526957517,0.21826849142678,0.197611707225756,0.255464638247895,0.187297014094569,0.31042230689341,0.282056973315372,0.293609279786345,0.19714148453268,0.264873299646578,0.257537141796526,0.298786175994108,0.2393146131697,0.263816653031738,0.193514813690478,0.15195210225667,0.277228030017516,0.242288831803406,0.252160733265091,0.280934468715778,0.244794906219141,0.242188522616047,0.189387762109654,0.174768210697199,0.250806919307578,0.197661437991567,0.221261402766575,0.199965228573993,0.275205113285128,0.225104372196181,0.275490330036858,0.262263040008468,0.274602340002611,0.284437355358882,0.235588495648026,0.219676350074834,0.264143927141446,0.263145741524367,0.341758860270271,0.312735202938755,0.232629900082305,0.232156663518495,0.237699596641071,0.295120380248454,0.238517664269031,0.220542907145454,0.212063922819256,0.183007169139315,0.243177247497984,0.222995777624161,0.205695561282405,0.251667150290506,0.26396310140518,0.270752804657629,0.209256114917536,0.29346530429322
"NK.cells.activated",0.264602873550885,0.174277506504655,0.21567356542437,0.251669502794658,0.178629144610459,0.247599094786536,0.300749043465222,0.210556054703064,0.152000582810638,0.192403942790693,0.307684904521134,0.122175281606474,0.127574478308507,0.220287134096538,0.336810109860039,0.201476688440976,0.166614235325643,0.224734294777596,0.220435233430327,0.370359114502291,0.200545993319511,0.264044663941556,0.209425190207926,0.275854128870968,0.149118033706549,0.305080700512152,0.178325047808682,0.171904671744453,0.172475486734961,0.200440461562257,0.219908047727025,0.134140821774939,0.0977420871662007,0.247487750371542,0.134276409701651,0.202136263493725,0.243261835969457,0.151178619408223,0.261435424661174,0.148043183841603,0.144766855907149,0.276313493632753,0.122738605840871,0.243782070642702,0.327128635380047,0.189556480156499,0.1406673430282,0.0814090374053169,0.178905145468024,0.163957922590722,0.24387555698486,0.251925134070561,0.236240040362699,0.240139644337672,0.21362055652405,0.257303765060913,0.241821553480934,0.142718732655957,0.210507334561439,0.332343602276923,0.259215237854831,0.225402061427948,0.166434640234352,0.22357457871215,0.256003333904449,0.167379092835283,0.202651005565139,0.152287261589192,0.200488195658596,0.272379219302214,0.170815090925504,0.264534967999314,0.21516589570261,0.270134687577984,0.166096184742166,0.143730342313711,0.0900936091139661,0.1457401062794,0.174171133206658,0.154883744630375,0.0979693109461175,0.131545609372915,0.191186097871454,0.311540381496169,0.188337261132492,0.115476394676141,0.0454645096631785,0.181801587939113,0.20855727264567,0.0945954971475947,0.192669179519963,0.23281595352161,0.216127903399012,0.148743123424307,0.18237874722016,0.145837809947464,0.212168793235722,0.26924632757857,0.252417225364554,0.240356636401713
"Monocytes",0.275816770789931,0.278575784209027,0.192766535124817,0.176587715445197,0.1860191501046,0.258429017931738,0.231865451093555,0.171536187714642,0.182714425239863,0.210995983213801,0.283157980006694,0.163458975832846,0.243195655744599,0.256923746171315,0.231491966664625,0.136859448028391,0.298123219240602,0.171605332289777,0.209148478132324,0.268305366874396,0.244840294615385,0.142261628702066,0.231356855569266,0.167883237977151,0.198972574127085,0.186062717717046,0.207470860847363,0.0856224854033196,0.301931129075401,0.138941484519647,0.23891104671152,0.286476828251049,0.2707975082014,0.270637231213095,0.190260188156905,0.231371221308457,0.29847347739339,0.24453211929038,0.283242342239976,0.306102819294327,0.183489639792453,0.207975166382143,0.252678543376272,0.229341592304734,0.180493168988844,0.26974448921739,0.124285363499184,0.205990183944723,0.28071589087547,0.163049013542538,0.260423367686578,0.110049431667272,0.209117079101885,0.313935520298119,0.192977069501184,0.27437037468719,0.267505829598063,0.240723625308246,0.211878940575779,0.250325543572068,0.284545198503563,0.225279834499338,0.26370527367524,0.26240430199853,0.26572101083654,0.116767758018195,0.218109922337761,0.213521738844905,0.278112700379083,0.26905381393008,0.291529279756737,0.2140217777035,0.31319865142594,0.241182002989459,0.228224558628634,0.247725764005885,0.295678480310919,0.218259908975414,0.193629653908743,0.161922162943118,0.198453701868112,0.239722208370602,0.256790764053785,0.30784563886807,0.256592817015702,0.259599312742337,0.21369391648813,0.130723434756243,0.23749681194288,0.291808032019668,0.243089989806477,0.29310378852673,0.182742310740177,0.185182723830601,0.071419360635272,0.194947449611514,0.305713182238587,0.22634799328424,0.233109448362504,0.188129184878835
