"","col_names","B.cells.naive","B.cells.memory","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Neutrophils"
"1","X0","0.0639981646621522","0.0955374981628949","0.138918658666945","0","0.1094470015869","0.0664539718158011","0.0873625608523071","0","0.241154936344402","0.063494361472564","0.0219879987465217","0","0.0440427504908035","0.0271636673303269","0.022276908938669","0.0181615209297122"
"2","X1","0","0.0417584545032571","0.158725255527095","0","0.165358558467367","0.00705294831730942","0.014590577535287","0","0.259102035020191","0.0870228116336227","0","0.164338929499382","0.0304051752377728","0.00494105231713413","0","0.0667042019415821"
"3","X2","0.0284725968125777","0","0.149663104627927","0.0483780594336828","0.131335536376657","0.0522035463679458","0.0865087767737313","0","0.105956602144594","0","0.0617316364315947","0.0418508156903038","0.0858629141022325","0","0.132326643685413","0.0757097675533411"
"4","X3","0.0359413123413077","0.134720781444577","0.0999426427260982","0.143440034950947","0.222009873952459","0.101824784315435","0","0","0.159544550924904","0","0","0","0.0685776444316736","0.00281648566962298","0.0311818892429756","0"
"5","X4","0","0.133323611622854","0.236294773815017","0","0.0263652398263611","0.0932681872955089","0.181904129960101","0","0.138225220749833","0","0.0699694034896091","0.0755084925160783","0","0","0.0451409407246381","0"
"6","X5","0.096591485645542","0.29156933913018","0.137612518778953","0","0.0338835212543209","0","0.0773231663126366","0.043033548233292","0.20137078388493","0","0","0.118615636760146","0","0","0","0"
"7","X6","0.0515382513320897","0","0.131681655395842","0.0755945911799387","0.0697772356907311","0","0.233541885856406","0","0.233867960891351","0.0131365152146946","0","0.174527249174511","0","0","0","0.0163346552644354"
"8","X7","0.0926788195668084","0","0","0.148464780146939","0.233506927856309","0.13222522931897","0.164972911732365","0","0.0863985407866447","0","0","0","0.0512216227582098","0","0","0.0905311678337539"
"9","X8","0","0.0928665134158403","0.0279796717236157","0.0590475754134789","0.106932371666995","0.0193819600641526","0.128187659329152","0","0.262268088032245","0","0","0.187758534179323","0.00935854146409746","0.0143896500286411","0.0918294346824595","0"
"10","X9","0","0","0.0766466694128678","0.0850949756107144","0.184427534116591","0.0626848619951631","0.0989721815333307","0","0.246990158882524","0.110710358843371","0.0244459842523344","0","0.0782413919825768","0","0","0.031785883370527"
"11","X10","0.00112219476751524","0.150211723699076","0.0890034662963762","0.0930090620323344","0.0867633673839565","0.0648930763213145","0.071672030753208","0","0.202539616352835","0.0680170297609324","0.0812956705300248","0.0104135835736932","0.081059178528734","0","0","0"
"12","X11","0.0101383008405975","0.213385160482731","0.248800527709182","0","0.0327124038769028","0.0382408728974407","0.0190048188015722","0","0.257575196471647","0","0.0433100393915106","0","0.0102166449881314","0","0","0.126616034540285"
"13","X12","0.0277540960514601","0.0535770476141233","0.0983493367778176","0.0346205952107482","0.108985344355804","0.0666966198231987","0.0559794171040584","0","0.0941666126428268","0.0330229440643076","0.0657766251502246","0.0726031930493452","0.0522619549479082","0","0.0798321883678893","0.156374024840288"
"14","X13","0.0619596005813233","0.100789546437592","0.166964496740687","0.0835491119245381","0.122556767684234","0.116764459074999","0.141571552007999","0","0.0745576207458372","0","0.0471324656409685","0","0.0209128497564799","0","0","0.0632415294053424"
"15","X14","0.0673063238417135","0.0651050876820349","0.0570953942707282","0.098456627663078","0.14661806258186","0.0361172249488961","0.0543141161171269","0","0.256144349266881","0.042785470297844","0.0904203250329095","0","0.0511185901461864","0","0.034518428150742","0"
"16","X15","0.132617560482503","0.0421203601488241","0.150650577171887","0.0517943680709899","0.177524687258073","0.0366950981193246","0.0488694560081651","0","0.0570562857828682","0","0.0796773486083918","0","0.092305652378714","0","0","0.130688605970259"
"17","X16","0.123097534247051","0.0800335836929766","0.255051865287093","0","0.0725557279091493","0.105856783531681","0","0","0.088618091111282","0.038262048761441","0.0802670383792602","0","0.0137393329319354","0","0","0.14251799414813"
