Input Sample,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils,P-value,Pearson Correlation,RMSE
0,0.089551395784046,0.0557292512802303,0.03420618663815652,0.02832362200316376,0.13683625260558885,0.09617137465555428,0.07029319434727256,0.018429772863613664,0.10861463836813215,0.08109598180574304,0.0666160959674724,0.0130991654138217,0.04665045732697948,0.06602150796891215,0.051333153391661106,0.037027949579652025,0,0.8947220765888942,0.636994073982672
1,0.05700172428247212,0.0389347646199365,0.05048789190594241,0.0444897719177812,0.198875263026803,0.05621391804187928,0.029039815511499856,0.014230831978162306,0.1208758918657489,0.09270063843429895,0.028529637750047344,0.10139694593762856,0.03475851839394959,0.08267206777140548,0,0.04979231856244446,0,0.9126779080585751,0.6084179367019649
2,0.06969472755168614,0.017850149658695896,0.025535065818894143,0.094678090411685,0.13174643096060154,0.08686719147597954,0.061870963377545975,0.012098169117419545,0.06789896243799438,0.013664586879140012,0.07804011041236525,0.050955984770166766,0.10064610603976797,0.026508286554006832,0.09209589467051402,0.06984927986353692,0,0.9452192242278785,0.6085820503487002
3,0.04640622087918879,0.10134681099360923,0.03099513060534723,0.15233132152950135,0.1786098888733059,0.09991212256089048,0.026833795410290195,0,0.09233525737911606,0.027007428746639923,0.042606967780095956,0.01560097505482033,0.082346030608419,0.05285273019452033,0.05034101987143672,0.0005,0,0.911318111513862,0.6160730403323209
4,0,0.14542087232224143,0.10549102757028989,0.04682442964049985,0.06910003607576179,0.11288651978468384,0.10349796382822893,0.059909812349381364,0.05061948834986393,0.034855003660030325,0.08916787199181239,0.0597313283798833,0.010493179662505363,0.059441191326841815,0.04667370042728403,0.005887574630691811,0,0.9017537398177442,0.6169320024888401
5,0.09700576023802458,0.18516929238547547,0.005758077951837625,0.08327798863392728,0.12282587975234205,0.005088949081584675,0.060508548376527124,0.1057943977864279,0.10123799073009854,0.015033232716183986,0.07723860798213764,0.09779270182684033,0.012594185518534803,0,0.020854731945784938,0.00981965507427299,0,0.9136764091426547,0.5590789297171114
6,0.08174791215008795,0.025218931448750568,0.03449253260022192,0.13036771002565764,0.09407795615548505,0.015080390376162003,0.13128308719546153,0.045977675415076136,0.12284633056907218,0.053473514088338385,0.01702657730749826,0.10707522070140899,0.0446792138828837,0.022783994188229732,0.024291789068374425,0.04957716482729157,0,0.9392134418531989,0.5398990740517807
7,0.08121677349636182,0.002615043702654759,0,0.15548247978214808,0.19745303499599234,0.1498532424035588,0.07652184669787539,0.05213846933139097,0.03203641315350217,0.035327927648548633,0.02706042757181473,0,0.10174906212398889,0.009780685474123944,0.006891322935650421,0.0718543908840782,0,0.9192804855111792,0.602284514789277
8,0.03204403125910244,0.10076070542061527,0,0.08793299010150395,0.11798283964819332,0.0592004624693738,0.08887019563105505,0.03252234875646283,0.09920727638416811,0.055772746961271984,0.04038416992174471,0.09940551496696048,0.016426782296687214,0.0703531458712216,0.07500242712257009,0.024134363189069096,0,0.911379456067866,0.6064248002845457
9,0.004927728928579873,0.016928258423241478,0.024715500589009946,0.147982158983743,0.12348653245767253,0.10239370219218259,0.06819471733453453,0.0181307459276632,0.11054274707239906,0.11864136661097419,0.06635264531136148,0.007859364024773108,0.09158984753707818,0.00619522499429799,0.05041867942287607,0.041640780189612744,0,0.8928007777485888,0.6237558779598291
