"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99"
"B.cells",0.486609274319349,0.479931547258945,0.537409839034446,0.683391836261528,0.514727827246048,0.655105211678299,0.555784614845082,0.572251667587119,0.59779501704788,0.292251575635792,0.552665763976973,0.5424076621176,0.47438167837917,0.557834715387386,0.5639296458751,0.644223727233428,0.620962171190397,0.598418932605551,0.590339749909478,0.342086357560182,0.525651056434448,0.51495284920689,0.470113461697231,0.679023068457102,0.632494377930506,0.432024256673225,0.383121302252764,0.616655804632043,0.440456744795417,0.562531084881926,0.580734954508927,0.451635698900694,0.498439937109291,0.454625117713732,0.600536340950055,0.481484580734279,0.689823235647486,0.416484090469627,0.711741524452096,0.643908117599383,0.581957988166988,0.658623040098797,0.446974068882796,0.502708945707407,0.489667713685769,0.344924000861028,0.653642537748323,0.607703247221726,0.627848819402833,0.493357850790735,0.522297499921097,0.576993943117758,0.488584519508603,0.590417747255819,0.678965330560317,0.569283670717083,0.520920459032833,0.438094526076405,0.625690594566366,0.699718816896631,0.504843309819663,0.50162773431286,0.496606587701277,0.386984480190572,0.399474002298716,0.356957128065485,0.555808978430186,0.589905732736089,0.336828791319305,0.584084793976306,0.641296251442379,0.386564687182288,0.590941267149915,0.504438045149238,0.426711563738238,0.579693775326665,0.49001094250079,0.549502083996023,0.437987195679379,0.560973176184124,0.65118427249273,0.493500452838509,0.582367571086765,0.546285059341441,0.604524436742305,0.605959795855699,0.520684684713373,0.560549429703185,0.552851060085711,0.372757294446538,0.427091711768743,0.456843202602005,0.493902890625983,0.633874853251483,0.574249073045149,0.650769394177849,0.542372374895789,0.526485637055805,0.602758271036804,0.693029355318686
"CD8.T.cells",0.093495203131397,0.140633797530949,0.190285875984152,0.289889915967491,0.206629681102812,0.180925351470508,0.350539289423882,0.19260556379265,0.204756141284724,0.250854724189521,0.125366790701386,0.180054781200562,0.175567456010413,0.296300103462875,0.145899038498998,0.207627483553814,0.0929662399331727,0.260701051524297,0.2952771541081,0.184967238630489,0.073874337422026,0.243927276002888,0.11163763337793,0.248512690642929,0.178406815802519,0.115777350670247,0.104842958771799,0.203988528895325,0.239851825900733,0.12083281963623,0.152260549013823,0.0867461393957654,0.161925450306751,0.279721283157612,0.127089788738383,0.190069304384503,0.173049537097604,0.190749177573098,0.263977489738398,0.127661027618317,0.165319376114727,0.198409439345952,0.132205031488072,0.154251281233982,0.225821609040012,0.0775462318572073,0.356224984329747,0.222829382699549,-0.0106150244522095,0.0941979478596238,0.296221617191033,0.260879664288737,0.254178138250048,0.237444242275436,0.211792770293994,0.153273544721864,0.226841508967149,0.28847377642112,0.235260741854534,-0.0857689859118004,0.251805840280167,0.0858765161916489,0.269373075664522,0.159330038865668,0.203574691404867,0.319183985008844,0.235300204616047,0.161541887602379,0.117086431738355,0.0918690748950106,0.153640988003244,-0.00658060543469963,0.127591264970646,0.38290913805903,0.348706771118139,0.161707764108664,0.283605307027692,0.153450317075627,0.19512738486617,0.364712042366414,0.180031417198821,0.169938000852727,0.154621154593253,0.141511093681834,0.222662823507958,0.0813667665586577,0.12529221677355,0.473605447384254,0.165372112119227,0.169263181177093,0.196488260277029,0.198254498256811,0.260564023386814,0.339242563328655,0.253674212117408,0.183352211061361,-0.0345051143879275,0.0744561273213472,0.142272374620368,0.208729258880653
"CD4.T.cells",0.481058291623939,0.486044168873858,0.49791051408237,0.59067939483003,0.437313923335705,0.363495028862033,0.564616326969184,0.677533743038451,0.510656073939277,0.528737725028726,0.556238224294176,0.507960498403006,0.485508501204797,0.599309170586527,0.535787284856982,0.517734239013102,0.562811492003684,0.430817028692717,0.639754901367368,0.52006470793115,0.46768592237053,0.482097960923621,0.566976929133857,0.541048965525967,0.522116218140881,0.586958221919195,0.472861417516084,0.436924835915533,0.50096111833194,0.572364467884031,0.418664399502782,0.467577918683922,0.498874165060893,0.534348873798103,0.594183514954575,0.542525269661506,0.479766001691699,0.49195224946186,0.564034066834242,0.554071877475913,0.442915724358737,0.422947857131879,0.550320872708585,0.407971400457271,0.399919553671715,0.474689994691088,0.511236707666126,0.540211409771405,0.539480433404543,0.501363643015369,0.627149897765852,0.466390221379904,0.628815630739739,0.554775867817285,0.622699452219615,0.54707820784933,0.619298718467896,0.609221237877929,0.586851894042274,0.367125983801681,0.594270565268606,0.569766846957674,0.69403369511066,0.618721889763239,0.564515392821718,0.637360790231695,0.372340640206329,0.60447663404813,0.453527618060827,0.516961400713397,0.518440747817488,0.450283481436751,0.338399551754234,0.382235191395123,0.58355967752781,0.562904649762705,0.470339797119741,0.667621764674649,0.466680097126367,0.614440805758568,0.507121418508097,0.589646677420452,0.484686382582455,0.463593143739591,0.510467747026328,0.596442338828874,0.555541572040537,0.402378052268265,0.533933611804284,0.61233614058323,0.491167318995814,0.5463503309477,0.675437257179199,0.555535575652946,0.476162025612769,0.597358947682973,0.378082544004674,0.539237390267324,0.419007212090097,0.61328436812868
"NK.cells",0.783882130958458,0.69813973433591,0.67033810657152,0.671749153577835,0.767515355525126,0.684526034740124,0.759015916020699,0.717474763045805,0.787987361645428,0.788264665196819,0.760452436313858,0.810752147491169,0.696286931290436,0.774733634791195,0.684799712587984,0.667095291423775,0.723478737622422,0.637960096180107,0.718790157422288,0.64620042792619,0.725832633014024,0.67355407237812,0.56678710411448,0.716307846437015,0.673105517654274,0.774905887852797,0.638749717586157,0.794280429286564,0.720246173320201,0.795114890508933,0.563733206774307,0.788514879188678,0.635995157553624,0.70519468945115,0.620558534519534,0.713562734416986,0.718778930363631,0.765736210829259,0.571850869250441,0.698188453405189,0.661277436546307,0.725555775092414,0.546695851081077,0.685035957484638,0.741709446683823,0.76522084241332,0.711428384363346,0.748234335853777,0.365985295411647,0.730350961164914,0.797035157017255,0.780814058547631,0.730376193384069,0.86693935569354,0.751947227021926,0.794865620029088,0.748671365553409,0.793572294884057,0.649044989724979,0.561599765883842,0.775875673169939,0.619790214213904,0.715752487829481,0.86962038955339,0.725905892372141,0.810491265577876,0.700005451430185,0.569824299358728,0.760236153425699,0.663677584150474,0.665511258600689,0.623983087229102,0.732879868632115,0.820536643083027,0.784257992367098,0.77241938960293,0.779821167787064,0.762059730817714,0.597365694493408,0.756322483000161,0.671473784355688,0.734886473134146,0.768954265290253,0.792909327766665,0.711759211366347,0.720329339690068,0.743232345946309,0.811313710888956,0.778238611887319,0.525723736165663,0.707412448820366,0.595053270816699,0.719061797158017,0.742488250759316,0.602253454668704,0.679528720394469,0.651351025442764,0.635892447255169,0.543200618606966,0.798764537670393
"Monocytes",0.781773700311871,0.801756238986499,0.736276213418052,0.721725295793167,0.677755642290921,0.520715569828645,0.756515180365091,0.622459788521996,0.705136287611156,0.853707084081774,0.822686240065271,0.727936452942576,0.832381206089301,0.689382584112073,0.771607220175869,0.782107581733812,0.730097106956116,0.819796076652231,0.655195957845723,0.840463190826455,0.768352693585422,0.795767499000651,0.9142310140882,0.730212497232631,0.743406036631012,0.63498554166663,0.785421038851816,0.590699770802459,0.737466484598362,0.689040745120729,0.720445321580165,0.796808540570337,0.753313566407799,0.781380896630319,0.81418740876069,0.813439506217852,0.755880312414574,0.858547598012402,0.793361433542048,0.729220997426039,0.771103464025424,0.734046565322813,0.819138989763216,0.795161283085755,0.75707227456313,0.766061208925438,0.623129747571952,0.627582319733923,0.849048233788978,0.740172028979279,0.754282065895506,0.656123786047548,0.773016901926623,0.631113196882496,0.604341347113845,0.814640492277768,0.676822147504971,0.722574529611391,0.733118981572363,0.793575627501261,0.797091299753313,0.767251841813844,0.656932495184655,0.842961251250853,0.803162943301792,0.591014710064351,0.634409627026932,0.762277571736687,0.876772042292466,0.74760238936431,0.741912430509678,0.86839572400517,0.83190554915142,0.812568602073514,0.676558493876424,0.685444501965809,0.728886406081399,0.665112805884363,0.831839923190012,0.700749716372222,0.735117744527658,0.748070506509107,0.749974312470457,0.778126396991562,0.809338441532167,0.74354037452478,0.79434962465537,0.64526915084851,0.704699945672218,0.832192268749933,0.812992030537334,0.816302433911503,0.620134596522128,0.664369268340886,0.631611543497848,0.788623797539842,0.853640225941119,0.760937930977728,0.909117778506692,0.649248819351866
"Neutrophils",0.626299257421916,0.626938100914426,0.651129510299033,0.327441504995219,0.392630778843774,0.241574736569298,0.605657051514626,0.585295958948601,0.548772083941351,0.631977229587567,0.458361449851599,0.609578382940421,0.725634331235937,0.529673533678582,0.442968801159848,0.687982442852626,0.620870056740073,0.43755682267605,0.533544435526437,0.461448927929024,0.627207247750662,0.560914456903572,0.614934166421412,0.586745964945732,0.499278114308155,0.599224170636692,0.620004089817117,0.517761532735915,0.64989270781409,0.766819858807543,0.595898717618816,0.632266486734497,0.603649336441584,0.65495322282078,0.627036589056232,0.723948187836414,0.505889881993712,0.772941324796465,0.468552590409194,0.609521601913701,0.668035285537308,0.451934327417716,0.518168049816684,0.637998873650451,0.469653647160723,0.429095557454663,0.736486487024484,0.408558953244649,0.59843267881289,0.514140033732406,0.467318354213536,0.381626010584897,0.643143603021539,0.6598004739225,0.525024475789347,0.469954375791769,0.682650023617805,0.666521325291054,0.695384711819598,0.600822389567839,0.472782523207659,0.464467150029339,0.6786901265744,0.386598197858084,0.507794293684802,0.440544908788068,0.624811554221218,0.356875329484053,0.557279167023748,0.481881327314645,0.371533681945921,0.708285778945747,0.648662027618519,0.539004212898713,0.51037524443512,0.438036210814753,0.613783538709743,0.386223061494884,0.668671840306969,0.582057091546233,0.638538918365258,0.719152917755814,0.608766720320364,0.688629199058484,0.665545916805903,0.455337409758046,0.664516506056821,0.477146338950491,0.658381486393319,0.633727605978599,0.719551308032269,0.686968506163882,0.419424823264199,0.433407826452746,0.647103824157249,0.440498542056447,0.59949450125472,0.6639140130394,0.74808036689552,0.376600887292657
