"","col_names","B.cells","CD8.T.cells","CD4.T.cells","NK.cells","Monocytes","Neutrophils"
"1","X0","0.24903385788298","0.0686225539036209","0.0257958700863034","0.208658085417773","0.304553883792964","0.143335748916359"
"2","X1","0.192622720418324","0.0676019142177897","0.0432832089049402","0.190253059889785","0.342750864749877","0.163488231819283"
"3","X2","0.259122509350883","0.0501807373648788","0.0788186579493144","0.16299112377822","0.294031603720346","0.154855367836358"
"4","X3","0.310719291089888","0.0366917497399517","0.174741054354064","0.17071797102796","0.286327985406202","0.0208019483819348"
"5","X4","0.269474450170307","0.132367269995722","0.00948544427598616","0.228188726154028","0.285557357147321","0.0749267522566368"
"6","X5","0.382285365066816","0.0384241197178724","0.0455729512095441","0.259655028266053","0.19719247913938","0.0768700566003352"
"7","X6","0.180409672993856","0.0750302259506011","0.0552204758752018","0.262814542941087","0.290395170423237","0.136129911816018"
"8","X7","0.201097623379283","0","0.19002560134181","0.201830319972455","0.218727846655957","0.188318608650495"
"9","X8","0.26005766528288","0.015601316047085","0.0956720770463129","0.21543710929572","0.307579364865759","0.105652467462243"
"10","X9","0.110070976930366","0.0306443193891121","0.123214041445135","0.215800149576303","0.345191839883393","0.17507867277569"
"11","X10","0.242086831055292","0","0.103746876685635","0.201383778336022","0.338016955557238","0.114765558365814"
"12","X11","0.219457637817339","0.0443974725205078","0.0519542421190845","0.222834737672514","0.24673832536217","0.214617584508386"
"13","X12","0.22158912103135","0.0106332821235789","0.104156209702005","0.112991696469038","0.324161464797225","0.226468225876803"
"14","X13","0.248499661383208","0.059816227964442","0.114555708188255","0.190644630585041","0.238348200273396","0.148135571605657"
"15","X14","0.260676900349685","0.00102293895462874","0.135669197972845","0.192838766009467","0.339868942473945","0.06992325423943"
"16","X15","0.27896418518454","0.0986845618846397","0.0430556867253844","0.130034825612247","0.278302747930209","0.17095799266298"
"17","X16","0.275374715978802","0.0974448451395596","0.0173023176169801","0.129125616619949","0.297228263556448","0.183524241088262"
"18","X17","0.316755901600882","0.0549520573752091","0.0680275610321694","0.119150534701927","0.358379278504423","0.0827346667853893"
"19","X18","0.280498184399993","0.0413722033258636","0.165952415025529","0.155655964251588","0.225857124281667","0.13066410871536"
"20","X19","0.245527925376459","0.0689586842009197","0.0775993832527953","0.131064049432634","0.389632117286809","0.0872178404503828"
"21","X20","0.271093374860752","0.02924041547824","0.0391886075679371","0.185387100477267","0.33980607226302","0.135284429352785"
"22","X21","0.271652982849744","0.0448198458754454","0.100013687777321","0.157802115423399","0.304442781859996","0.121268586214094"
"23","X22","0.239085750313279","0","0.131423495737375","0.0940031803718589","0.401417095583004","0.134070477994484"
"24","X23","0.349846584646703","0.0621048348584927","0.067433585804219","0.166647616360503","0.257179976776547","0.0967874015535349"
"25","X24","0.341616630002281","0.0396435639983072","0.119339794716809","0.13675140005902","0.292592285153225","0.070056326070358"
"26","X25","0.211316756417516","0","0.108439445768708","0.246402728704134","0.22828921031087","0.205551858798772"
"27","X26","0.226746524406217","0.0137385451627838","0.138950546729733","0.125593116342231","0.320788359106277","0.174182908252758"
"28","X27","0.328323222169776","0.0824291819507324","0.0375249808143021","0.219633382716726","0.273172810386102","0.0589164219623619"
"29","X28","0.192486544059481","0.0600330201649271","0.0631714016454521","0.185577485942618","0.288935461526975","0.209796086660547"
"30","X29","0.214442973165313","0.068638335535237","0.069195074146084","0.179611087475282","0.233637522267625","0.234475007410459"
"31","X30","0.298398032309301","0.0520172747299811","0.051003469995679","0.118402287988707","0.298175682248016","0.182003252728316"
"32","X31","0.177253178269487","0.0435973298533879","0.0386141069469233","0.258836733807911","0.342245313391121","0.139453337731171"
"33","X32","0.291964546317142","0","0.0950004956696215","0.157886314961906","0.301496466028308","0.153652177023023"
"34","X33","0.234238995239292","0.0417671887054389","0.0782443817357494","0.140302536315582","0.320844641916647","0.184602256087292"
"35","X34","0.271382890111946","0","0.138639990130779","0.103052035476328","0.321981257660279","0.16494382662067"
"36","X35","0.202745598771617","0.075440665373786","0.0108166689507414","0.157543868002348","0.324092661362587","0.229360537538921"
"37","X36","0.38724051960374","0.0263205343731474","0.0336404924499166","0.161730563003522","0.297371301129462","0.0936965894402124"
"38","X37","0.219502572410899","0.0207293257798668","0.0202501404635497","0.151890238210528","0.344999057195045","0.242628665940111"
"39","X38","0.357788736778265","0.0276744974701747","0.106978051873114","0.0982223683749238","0.315143030991522","0.0941933145120014"
"40","X39","0.297579573897989","0","0.0684535732846393","0.149608805795903","0.285559162574612","0.198798884446857"
"41","X40","0.280659690195184","0.0342429379805044","0.0451221514440572","0.122245639587445","0.306090596604978","0.211638984187832"
"42","X41","0.366295834127586","0.0371542724178964","0.0417004793513064","0.197428778198947","0.292331109234847","0.065089526669417"
"43","X42","0.249098108452788","0","0.130231919429848","0.121063410091054","0.34758843436478","0.152018127661532"
"44","X43","0.215899362445103","0.084851212459921","0.024331839681636","0.144272392058587","0.323418497808812","0.207226695545942"
"45","X44","0.308509702532473","0.0200500941572081","0.04650546262516","0.262491736973602","0.299178076195698","0.0632649275158591"
"46","X45","0.219754606216041","0.0101890105310846","0.116458860736378","0.259074323753886","0.335504979138455","0.0590182196241556"
"47","X46","0.239479819952231","0.116210366279847","0.0118926119409445","0.122549711695931","0.258522507480382","0.251344982650665"
"48","X47","0.31310532268335","0.0789525518688144","0.090101953549924","0.212312935592308","0.23543390605454","0.070093330251064"
"49","X48","0.355751682456281","0","0.159739058786975","0.0374879005953077","0.344289959230044","0.102731398931392"
"50","X49","0.287866354148091","0","0.0923881368763903","0.219259394114775","0.294508002279763","0.105978112580981"
"51","X50","0.238325836073846","0.114299969395084","0","0.233246032133509","0.279829046620931","0.134299115776629"
"52","X51","0.228313687426882","0.105342796817916","0.0211511634081054","0.298192736400142","0.265517732872021","0.0814818830749335"
"53","X52","0.218655355545397","0.0509022605440838","0.0880479931397724","0.171936317865673","0.293756363473312","0.176701709431761"
"54","X53","0.244802111509542","0.100199800748438","0","0.216128869931649","0.253261330195161","0.185607887615211"
"55","X54","0.326722578348522","0.0132896590435608","0.118403738946301","0.201721775210834","0.24241066625161","0.0974515821991732"
"56","X55","0.266358012908938","0","0.112321008935505","0.166149706412658","0.349709577066497","0.105461694676402"
"57","X56","0.174535277144745","0.0649054536065852","0.0924751106890573","0.206401874256626","0.246262481624058","0.21541980267893"
