"","col_names","B.cells","CD8.T.cells","CD4.T.cells","NK.cells","Monocytes","Neutrophils"
"1","X17.002","0.164877469086009","0.0592754910822806","0.0213137865943013","0.1179879604733","0.575033729068443","0.061511563695667"
"2","X17.006","0.193334815343116","0.0512918562205186","0.120480256736197","0.147499669479808","0.332581763253472","0.154811638966888"
"3","X17.019","0.151066362338817","0.0307341479362236","0.0177089557577907","0.257698272427089","0.431344258891772","0.111448002648307"
"4","X17.023","0.126541475095306","0.0127817509464849","0.0597134902224564","0.105353422191212","0.601795547027584","0.0938143145169571"
"5","X17.026","0.194003624346069","0.0309543423703697","0.0688198781704449","0.120966024632612","0.480939107453801","0.104317023026703"
"6","X17.027","0.217842177857895","0.0478908639146368","0.0548833957386611","0.139427985037147","0.361510230315304","0.178445347136356"
"7","X17.030","0.0913817053397616","0.0691518922159349","0.00461927704890325","0.169860514092425","0.562941264007013","0.102045347295963"
"8","X17.034","0.209623325952913","0.0374964395285817","0.0360479592255418","0.11085908027219","0.436108642016964","0.169864553003811"
"9","X17.040","0.24288849287529","0.0817177863437245","0","0.104362399804182","0.436694445661561","0.134336875315242"
"10","X17.041","0.275433570232926","0.0130498593861952","0.111787914178131","0.184165609741492","0.283531620999759","0.132031425461497"
"11","X17.042","0.168433153137518","0.0157061470798302","0","0.0958826313673083","0.494099240119496","0.225878828295848"
"12","X17.043","0.274375022896903","0.0332987571951673","0.0811166483596517","0.139373192733634","0.3544903400664","0.117346038748244"
"13","X17.045","0.222499318257524","0.0356525581931819","0.147787915347803","0.150192580208839","0.298890185389794","0.144977442602859"
"14","X17.047","0.359857038965847","0.0405223356118224","0.102429618277255","0.167232978491821","0.232994110505767","0.0969639181474867"
"15","X17.054","0.276919186280021","0.0884011545142744","0.0586095546043816","0.043010587982665","0.435148261181199","0.0979112554374598"
"16","X17.055","0.161420506622248","0.0666883092345408","0.0126325886072655","0.045343049495211","0.565573207752","0.148342338288735"
"17","X17.057","0.279073939575444","0.101259150493504","0.0801367881433822","0.172064234956377","0.251006759271965","0.116459127559327"
"18","X17.058","0.275636222001043","0.0466108702155988","0.156850969512855","0.116177300487357","0.244693808492085","0.160030829291061"
"19","X17.060","0.263404031141612","0.0925415839079528","0","0.0892214382073772","0.314051679178636","0.240781267564423"
"20","X17.061","0.248423347953568","0.0838667523880593","0.0186429999192818","0.132704535591011","0.363747986310687","0.152614377837393"
