Mixture,B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils,P-value,Correlation,RMSE
0,0.187411709493848,0.020825991394031,0.182538185192851,0.298772729415939,0.195686505810419,0.114764878692911,0,0.834110857211755,0.662389217755916
1,0.0871521879847837,0.177122282005071,0.11469886685527,0.250062453579166,0.243124556916901,0.127839652658809,0,0.856657790148846,0.630362673056003
2,0.124912073796629,0.00254365711742471,0.318370785292138,0.233328331959829,0.185336735176669,0.13550841665731,0,0.763205057270582,0.718373676898912
3,0.219320725571388,0.0604339312063446,0.297009152747875,0.21760349378347,0.171639811600419,0.0339928850905036,0,0.811351283351586,0.719061195333325
4,0.191138664866358,0.246440716203702,0.0815655033428439,0.270966115673623,0.163716664829174,0.0461723350842998,0,0.802582436212072,0.713665659490574
5,0.316963558804105,0.101876577967053,0.0343068736840533,0.307797110439803,0.180737739178835,0.0583181399261505,0,0.842423579316567,0.656425190906324
6,0.152041457437774,0.0635912271780497,0.159662952915055,0.334507172590036,0.191999679892171,0.0981975099869138,0,0.843275458042329,0.656097322245608
7,0.132266391161925,0,0.312070933380833,0.268330839252398,0.160440333237631,0.126891502967214,0,0.785518293269994,0.709871662726429
8,0.142355328542944,0.149225555615851,0.101281108388025,0.28814153291391,0.240257653395503,0.0787388211437665,0,0.841620080444713,0.653975088497842
9,0.0425214147132416,0.0598673335218192,0.213978305646668,0.343204038013943,0.227547255735628,0.112881652368701,0,0.822881924252837,0.650660712980848
10,0.195006709959555,0.0638131114727706,0.222103019150131,0.195101389328937,0.215189938616497,0.108785831472111,0,0.85803033245856,0.657840871715746
11,0.221324493489824,0,0.220347167684284,0.273880542438176,0.155325409409286,0.12912238697843,0,0.858667601848548,0.65706830480931
12,0.138073156213492,0,0.284017110975929,0.214956280768055,0.241597591230217,0.121355860812307,0,0.849253017226806,0.646451315887937
13,0.174565193139581,0.166141949673335,0.157168710240499,0.24398715951095,0.149840463656915,0.108296523778721,0,0.855376872706187,0.679061346729806
14,0.196776579438055,0.0694115541327052,0.178952140604737,0.256452867636876,0.244813644466744,0.0535932137208825,0,0.806680579559867,0.687206771142844
15,0.234086727514468,0.062996012756879,0.21710622036045,0.185717850530779,0.176638260803267,0.123454928034158,0,0.829230505766132,0.683981729273433
16,0.210090274555048,0.020517170989294,0.276106121500492,0.189372285016212,0.180410704222964,0.12350344371599,0,0.84993002283026,0.671702674782036
17,0.18460656429433,0.0570187115903318,0.28265759091236,0.183937411832558,0.214507586429759,0.0772721349406609,0,0.823286531670192,0.694769834164278
18,0.197298376626416,0.143010578325423,0.223978524993144,0.181170231020219,0.139617751878442,0.114924537156354,0,0.773557616407379,0.73616702493016
