"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99"
"B.cells.naive",0.0413470181939566,-0.0144515443922832,-0.143276154976592,-0.0289457501714236,0.0432512345727107,0.0651007356289244,0.0495690395689787,0.055146064282732,-0.0736917487264971,-0.118759458907613,0.00694362144473148,-0.084263496471004,-0.11174978103862,-0.0356037769522446,0.13734736556692,-0.0285566684095042,-0.0151850986597922,0.0441817989982813,-0.0177771654273498,-0.0873786051505455,0.117432025123173,0.0386526771064732,-0.0743424071344933,0.0246291321026814,-0.0497626322532061,-0.00993808629504825,0.0463501957256831,-0.0867534351951192,-0.0412611594260468,-0.00313352882542078,-0.0314768477567167,-0.0534518990622467,0.0186587967297319,-0.0200467984466662,-0.0200258361371019,-0.00813812996553695,-0.00546245881397002,-0.00602923958067475,-0.0301845291885175,0.0336599049221463,-0.0242784702078323,-0.060609400564809,-0.184179532903709,0.0186223884891078,-0.0244796827255547,-0.0316448106128036,0.0920163456728946,0.00061621748240739,-0.117051807091084,-0.0593540425113654,0.0165297614345791,-0.0180601993311384,0.0414729042840792,-0.0145335615017129,-0.00503253537973312,-0.0550952185326028,-0.0748720229582495,-0.0332074622183464,-0.0864199301591439,0.111530198547784,0.018115745277524,0.0818027519074295,-0.0691018704637403,-0.0622172653586854,-0.0684019675753255,-0.0740802096737651,-0.00711395378844225,0.0799353203932203,-0.048047654946281,0.0493044701935672,-0.0365080345749358,-0.0225524826842188,0.103969806295296,-0.00379349902634448,0.0303622195593785,0.0299716319300108,-0.0763479978337588,-0.106392488230581,-0.00597541721920686,-0.0188079468300276,-0.0295407878054228,-0.0155998709260319,-0.0368553990872777,-0.0567080195623976,-0.0875272939369507,0.0342060085670813,0.031717828637733,-0.0244642315069545,-0.0185368313773402,-0.0717915539048283,-0.175334784366813,-0.154920524908748,-0.00654963221631971,-0.00190951331680283,-0.115334707655041,0.0533525928075488,-0.0886154574102607,0.00202918897784841,-0.0610791358346246,0.0406730512590295
"B.cells.memory",-0.0571158648418384,0.0422988983478771,0.102585295353432,-0.0348752814850923,0.256222945085394,0.0810242288937778,0.0789889680830854,0.0376533328505538,0.142777184038951,-0.0125567471004337,0.23067238449694,0.0738874436253897,0.127866915889426,0.106652479273902,0.0262680143604972,-0.0638595286055213,0.263151508424242,0.00643839811481864,0.0885569341318068,-0.0336078810910676,0.0619787610869494,-0.0536383896218189,0.0454202705229448,0.0268344970126329,0.131099398044079,-0.00266694741152613,-0.055602617637345,-0.00588555236100571,-0.0116183132571522,0.135906271589678,0.0571896947766383,-0.0195651690786006,0.145424891578757,0.085423511158856,0.0507465583950451,-0.135470961562851,0.0872746123041283,0.0531787480579062,0.0176033042545787,0.0158823640708243,0.00174454128521483,0.0846447206348038,0.0986962875736798,-0.0307598712415845,0.0721046175150852,0.155325974124522,0.15031590434802,0.0180878631696582,0.0946206001044076,0.0482140243204823,0.0363868799464783,0.0383906330192911,-0.0165548675006627,-0.0207624462787827,0.175176775885982,0.067695248685733,0.109608596667121,0.045550427389576,0.0413852699968308,-0.0667920849015964,0.221968007213186,0.0274069205512872,0.107588999242645,-0.0646425305324577,0.00547494278985629,0.131066339587494,0.0974550968382498,-0.0564478751377567,0.166398760625607,0.221797303557688,0.156477316864039,-0.154050674864931,0.00791488629816164,0.0803977368358235,0.0805780101064465,0.125757160810475,-0.00501880664058659,0.065785245441601,0.210896640470433,-0.00463621365817383,-0.0225637927434254,-0.0524870381688179,0.169673296014637,0.00109797407947195,-0.0319467672024445,-0.0383020633427857,0.0556550838302816,0.044496911206401,0.0181954786798046,-0.0182257433449031,0.139781336701913,0.194161387519773,0.176040113465587,0.128898512533,0.0953412506274045,0.0802043571809426,0.0303362815992449,-0.109543258192698,0.0198423665907283,0.0531044357384192
"T.cells.CD8",0.00322827114378286,0.00145056013205221,-0.0040098790948118,-0.0545403119891895,0.103395119057302,0.0488273626908178,-0.0793086327680988,0.0839044131775813,0.0852171238626903,0.098517875801592,0.0664703208198906,0.0164075983995404,0.159151817255027,0.075622667827479,-0.176591576363699,0.10665514788356,0.0515476742641475,0.151616744086922,0.0252572086255049,0.118183403185374,-0.191799814872101,0.107033398390675,-0.0449730455678431,0.131316821977683,-0.0998210163770417,-0.0172584795020172,0.0889677086223852,0.139438908220497,-0.0478126957632047,-0.108336491425839,-0.0500368418441914,0.120522972497154,-0.0365810529211238,0.0997437619004465,-0.0104815257969204,-0.0409361186328245,0.0752231141948893,0.0090738507802129,-0.0179577070318792,-0.0773452055882096,-0.0930083134503148,0.0662984769200807,0.0690103754470838,0.0697399312445664,-0.038111788053153,0.0113289673100871,0.175178334558339,0.0816829688271036,-0.0468921243902405,-0.113520970678313,0.0747557508731913,0.0876585245657923,0.0512149293123949,0.042578674344122,0.0278518311847737,0.000389391786207875,-0.081192833037431,0.107151264274177,0.0226095830097295,0.0221048763294897,-0.00353982575454853,-0.0701175567296424,-0.0333853716924601,0.0462395555319956,0.0963339062905418,0.0135655580389913,0.0543550737231356,-0.0492607179831636,0.0116713959569337,0.0247024247026023,0.0450662484204853,0.098552113618409,-0.0344446823267305,0.0397470980370543,0.0521736891947919,0.0190518107601108,-0.0587028215138227,-0.0494208100124992,-0.118974090923801,0.110860676024036,0.162678351408351,0.0375395366759091,0.0501203923935073,-0.0499759555455166,0.159368204976449,-0.0475650133190941,0.0386363935347767,0.0250262435539668,0.107525771421015,-0.0912723012528858,-0.0622214938153378,-0.0261847303744825,-0.121633631574289,0.0697020282179736,0.0501520977726412,0.00881050321759453,0.00542798426334194,0.0236292893156248,0.0211477542847531,0.0434049423860732
"T.cells.CD4.naive",0.803641849772993,0.803970959519382,0.804293161811016,0.807107334576978,0.805165108545222,0.807311987140872,0.806010334474463,0.806603844479841,0.80522573639953,0.805583079521619,0.804325730244489,0.805034253013923,0.798031164205136,0.807666137784967,0.80425374096847,0.80203463594113,0.803539344548189,0.805243348219789,0.808131892323493,0.80566322379648,0.800018420688972,0.803936508467114,0.8050777473999,0.806430792901911,0.805103910109107,0.804389867204784,0.804139327982884,0.806543117390938,0.804955126103609,0.804876586317958,0.806546201529091,0.80146971652469,0.804552078253449,0.804735820481557,0.804970702906787,0.804006769547811,0.802312516118528,0.795436165291242,0.806882831925883,0.799577562034219,0.800443687882742,0.800590007089911,0.802808802345093,0.803457364826443,0.800640131164285,0.802226604475169,0.805462756273779,0.805863069416208,0.804366113233842,0.803244331174202,0.806941431579817,0.804595056802684,0.801158891477656,0.802678509946191,0.807104360463991,0.806738406692429,0.805964945235147,0.807247023785332,0.804419272808653,0.803824339945124,0.806107706163222,0.800616527073106,0.806725212806572,0.805791714686401,0.805901407407341,0.806877889198433,0.802718287311411,0.805968978728671,0.798065538017218,0.805579684522665,0.80746788702908,0.80147326993819,0.802479636715473,0.804233737368508,0.805278428138389,0.806018831416145,0.802234021453109,0.806772593743051,0.802017546280318,0.806784984980754,0.802282912715913,0.805839129621095,0.803828420198215,0.80391506799532,0.804568196635286,0.803465322201392,0.805842692821656,0.807194334569151,0.805669721781941,0.803754432923329,0.803094975226651,0.803435913774611,0.805009543020351,0.808200185127899,0.80456465038001,0.806713983078187,0.8004460648871,0.804072573154941,0.804453007320317,0.80684716584659
"T.cells.CD4.memory.resting",0.227090409033366,0.221611284068501,0.146973437403885,0.146420904325199,0.228029852992527,0.220308811413698,0.222014633413118,0.13858996726322,0.188960931536101,0.225424378297756,0.202275115078731,0.168141211515628,0.219983780066692,0.310737825473896,0.16386978820122,0.20676043322315,0.228374828349157,0.268675714573117,0.272038489712635,0.27205595966941,0.161308099066661,0.198026086911052,0.0931979313941848,0.204480058048448,0.244622431330689,0.14398970700174,0.247558799325455,0.183039042576341,0.267768093629548,0.240762275147157,0.0967561076404662,0.185775934365553,0.236272422835837,0.250346165125434,0.242386492579048,0.209740810664348,0.277969665958281,0.235031352746164,0.227407782291249,0.146498630290825,0.248184680315545,0.101142929987492,0.135044713474103,0.145996520359171,0.246086733566435,0.208145718638711,0.133439800909586,0.118733293310084,0.262995255302016,0.118104559279851,0.298284422270399,0.16518148891097,0.225578955924234,0.177915956082607,0.211117496128059,0.230772854257687,0.299835684071592,0.315005223647228,0.247816777769167,0.111557827942604,0.188397400511616,0.171858434086486,0.228529886134861,0.191452464953042,0.0941325121902714,0.253431047860888,0.163886614803991,0.13711301701762,0.233742196568913,0.170676026281515,0.257736601121869,0.207522161345752,0.161185659698559,0.228868828402592,0.181655683836983,0.238479535714208,0.233731269193416,0.1589536047011,0.224020717866582,0.202004021407717,0.229708569022426,0.177910215532291,0.166546326480109,0.199065962157976,0.144294021082367,0.216975781164145,0.200935081090655,0.17452402898494,0.278515294021866,0.208681823953684,0.226866135037384,0.203546498143978,0.264146943158319,0.216099209473066,0.176274150303708,0.153342089710943,0.179016060354074,0.202428929198365,0.136700793351942,0.214610249250032
"T.cells.CD4.memory.activated",0.3654842161315,0.325916693703407,0.27154461818506,0.413182713086825,0.44885152765524,0.308492192495727,0.330880877532949,0.394906617490308,0.324000702768803,0.388541893148288,0.402127719044063,0.364736463933737,0.410772721744984,0.435043045129256,0.453964335595219,0.345053063605462,0.462373677974737,0.329307839537375,0.45123116973544,0.293916104208381,0.401445015528101,0.401523500839353,0.324282027250007,0.359199884026264,0.388104454595816,0.463128693738658,0.386576663880145,0.390391889216456,0.449124761924977,0.414214603664387,0.399614997241878,0.319605854835539,0.352823928614078,0.412002298467036,0.393681655918743,0.355552446999109,0.293488168609439,0.36146880665856,0.401657775343664,0.45792326942366,0.316111604972585,0.454581718710859,0.419863767351356,0.381074371104544,0.451749577313335,0.455540592070414,0.403183954199975,0.507033155754128,0.432287535628402,0.349370774470185,0.293483356203229,0.399905786140915,0.420393922310563,0.250463062715886,0.338941330513174,0.295918867483486,0.413237970763958,0.28655112452811,0.407542261695877,0.363438079231088,0.339105410975904,0.496900152420899,0.3387508670339,0.46564200954998,0.38612455561329,0.324103014608271,0.43040702029179,0.322806555865861,0.370828295611738,0.410650283348597,0.353962510583363,0.384403220817172,0.352997934008006,0.330829458697507,0.403973097887652,0.447198645976592,0.349029784788309,0.423243928144902,0.357950938146784,0.395825108328758,0.43314783857545,0.321366333359877,0.285971051911848,0.35959997965416,0.337333727646484,0.370017981672513,0.351125527425504,0.343635701006499,0.363028511882767,0.380732501224284,0.363603332564597,0.282770767538134,0.38678323239589,0.311310356352305,0.425973353823748,0.39435721736375,0.400709562566761,0.388261149040904,0.328152632214845,0.432647220444873
"T.cells.gamma.delta",0.149693224568174,0.109388612427251,0.0786376658572872,0.0440745450957203,0.1942947929409,0.216910664626354,0.0986616534937348,0.0923164940093235,0.148849112258083,0.138236961749611,0.0993209231689107,0.0137959771859002,0.00917639121354558,0.0800389744422326,-0.0120464007744336,0.0511345322208229,0.109312492473028,-0.017028408140952,-0.0145330716151585,0.0293316566400115,0.0619421857317193,-0.00054532042357055,0.201006569012516,0.137865241282915,0.132172762659371,0.0998524743878346,0.0563355943164553,0.088355255948884,0.0609013245009651,0.0172925002558451,0.109548709391321,0.130609704874403,-0.0300264100492407,0.0236355508660138,0.0876085279403395,0.100485205066815,-0.00203669569768879,0.00100532974658135,0.0518918440616792,0.0166273504168257,0.0498112037733225,0.102148393067848,0.0510826629023696,0.0737979120896367,0.0498572102557218,0.0279827559669602,0.178318250049436,0.10871468710457,0.111986205622563,0.0504900098127672,0.119367071361974,-0.00988245073016128,0.150946701947413,0.0586583513724892,0.164615253516433,0.0331405322326471,0.115149057257673,0.121465730454516,0.148279489949811,0.0169129338162838,0.101222348449382,0.0439153202137222,0.107851882898202,0.105971993866681,0.0780006660412348,0.169164498350769,0.127168826353493,0.0257331622501952,-0.00827632965350537,0.0903982926929673,0.0735771916907469,0.134375108114313,0.0379257013165827,0.118031362930371,0.114748867094103,0.000317271916431784,0.174679975754574,0.106405733565958,0.0924269738470295,0.0610129294255774,0.160384654395774,0.0241170591555631,0.0989258244768445,0.119067652299802,0.0855921057249238,0.0608602774843239,0.116128395876078,0.133662414564895,0.0460828765854058,0.128391759453587,0.0997727461114943,0.0111312838885511,0.0404801945680835,0.137167046590834,0.135781856872861,0.0719351340860485,0.0924228929622264,0.0533178552258487,-0.054884284263926,0.0731773787273456
"NK.cells.resting",0.195196898776498,0.238069018305435,0.214609594798034,0.134375967713687,0.284221569150122,0.274288446289173,0.219946516513857,0.176310572031801,0.14864524855985,0.160875130094843,0.179418757563124,0.189912439326552,0.157208123818988,0.250311669555145,0.243778734667958,0.224903603560192,0.286347952520523,0.228178914331826,0.236899636405134,0.202851883569103,0.100518274694106,0.126942183872667,0.231478146449597,0.210298034278999,0.152577115108463,0.277993257482384,0.227489833063583,0.221216959291907,0.294666793108391,0.131537827232778,0.225049076842684,0.185748916592545,0.308761633873553,0.163117121598411,0.145032158174714,0.290937576558088,0.20031251134904,0.178918542730496,0.220554100791315,0.192876523477594,0.251037554183367,0.114980422455185,0.165920129852504,0.161905840378754,0.0996151510271196,0.268108977562547,0.230433804322337,0.180871405960274,0.177242833971037,0.19412210260516,0.229688491373094,0.256899257581154,0.199272788754488,0.238789267756285,0.203953879007813,0.245261997974106,0.270922223186675,0.16095577628126,0.21279767109281,0.131231441481784,0.258810734211044,0.169255532394416,0.202656554601763,0.232162903063275,0.200070851126201,0.247317278007789,0.122294725228782,0.203664143382149,0.226216703208433,0.241289547814334,0.165224515069996,0.200534414258633,0.239649262013592,0.251827525058452,0.286493461674117,0.145902663721364,0.282619286015594,0.15956162238741,0.275228979725556,0.263907619754815,0.113889462228477,0.182330595535248,0.196775975709192,0.24819879673612,0.147604131900097,0.24535564552383,0.124347961737756,0.281875460693305,0.21755146329738,0.149086710864788,0.203694794178291,0.232371586032905,0.160081884440155,0.17296425554384,0.279317578535257,0.179230479632564,0.216038250700911,0.195493871695386,0.157664348860916,0.176429639102289
"NK.cells.activated",0.206083087056498,0.205201290912091,0.205456791077332,0.288948660148685,0.276884424253459,0.166155520195733,0.301725862709323,0.229177616407636,0.24357463729267,0.20727198578301,0.327417657286086,0.240980822944254,0.166823157574628,0.27924864083295,0.179463816901091,0.0552467141899041,0.269414046182625,0.0118409684933,0.142279095187912,0.205964383348209,0.157867977998501,0.271860801556489,0.169725535508641,0.305270922114284,0.189905444666994,0.189832789752039,0.206074299396465,0.359687532245365,0.25337537242351,0.138257725700293,0.13000840958114,0.218567909529349,0.186898993882741,0.274667262484725,0.29157940874481,0.213173440207936,0.0817476504311376,0.175610722731051,0.177881663465622,0.182799010991356,0.332466464508708,0.258587727398693,0.168522499569463,0.247349989360499,0.130854601967196,0.256615082844987,0.174521718980949,0.304852496819923,0.13126013511553,0.324609701632002,0.265581623046194,0.302893117131535,0.155821701667202,0.137382330884792,0.243620548217988,0.118811304223816,0.188574109030123,0.226541831698505,0.188872916284329,0.237659983133112,0.12819470355233,0.148268676437748,0.22209898427035,0.0876006196085827,0.207188693749963,0.213690631647449,0.0709144128719024,0.189660697421975,0.245339520852034,0.20699051332655,0.239642753947199,0.174336313099395,0.09580695056064,0.17739370677617,0.161826971619542,0.134125834583329,0.200496488025174,0.193131879625798,0.24425906912805,0.161642228866205,0.149773251040095,0.172531380758233,0.0668794885838947,0.278367447925599,0.241560877088873,0.262915677867533,0.0833950257784359,0.171754955213068,0.216673000471636,0.1810788543429,0.291574680018356,0.151887573235919,0.256702982631668,0.297895568723721,0.0577434438816419,0.217233239711488,0.0249160956262106,0.16799176313111,0.22863223621128,0.183715278506706
"Monocytes",0.214955545651205,0.254823512319957,0.0532084335037811,0.15994063579193,0.115332287185173,0.195609477180822,0.16817500642862,0.159217709475226,0.191574973087024,0.230500193688091,0.339741514364087,0.20289468909273,0.399664509802347,0.139535880221662,0.299219421195337,0.213572787891478,0.247864308677173,0.25606759818053,0.184715915302943,0.288066608032186,0.150719252484407,0.211205815816432,0.314555166955176,0.225981319469325,0.281499962646431,0.183153527273583,0.216585446217177,0.16545843093217,0.241446868141426,0.1921367885815,0.162369845062767,0.226994092408358,0.0603324539764562,0.263964290302895,0.290929445062288,0.304485761990717,0.261862792118046,0.288195435861852,0.280063659920228,0.26091771032254,0.283327884147942,0.154049673031323,0.268490239074552,0.260124579032809,0.0912596200909337,0.279220758949466,0.298365256912867,0.0926373136291038,0.300439559639446,0.219292802774457,0.277254528904804,0.331399965016937,0.251514516092343,0.35011208695349,0.197321616952936,0.215237883242921,0.232008328065191,0.124913133975449,0.150204103444245,0.138437797197707,0.196295970147661,0.229300839523198,0.231498311318279,0.236136520047635,0.149686485750046,0.176250208554635,0.211724137841497,0.296024265962562,0.259319800605306,0.258243328594146,0.274972661207692,0.340164775875529,0.228329929344687,0.114735389707075,0.274416164995965,0.143506034335801,0.281450092673003,0.220709660617297,0.194022739594601,0.08509020758682,0.221798782943684,0.209873235410787,0.292764217172497,0.242405962166734,0.291586090345901,0.202305165946155,0.160475889846812,0.269048886061431,0.223247426479003,0.25398664295091,0.256554148598145,0.228167447296324,-0.00856673703849697,0.104261216830177,0.102962867280936,0.20263699035005,0.198936552301875,0.0941166336688244,0.240065409958089,0.270357334498029
