Input Sample,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils,P-value,Pearson Correlation,RMSE
0,0.11102008641636099,0.046326766068978106,0.11467961234543582,0.06069517115824881,0.035353207616953056,0.07583677372462451,0.04008936310837734,0.0385883289432214,0.10465333656319156,0.07093361750295935,0.09617657865436771,0,0.0622003938921079,0.039395612807246405,0.06810976513468929,0.03594138606323775,0,0.8388571795414318,0.6690126711755885
1,0.013509846438825565,0.06257969609413956,0.06226600998423998,0.09032009112746896,0.15319394991749785,0.03713885983094468,0.06751362069169076,0,0.09827206669065153,0.11177245470551937,0.05159764558446978,0.11683016314679755,0,0.07341486090960614,0,0.06159073487814834,0,0.853730438769895,0.6469320239963864
2,0.038303971342512344,0.031122224883407313,0.0697232233788123,0.1429132316295394,0.1094831064570472,0.08639075959614675,0.03401958207366765,0,0.09403574087692292,0.013927283032284046,0.07907838734328156,0.04813119294939125,0.06704439529330206,0.024974434906805985,0.09143509677679912,0.06941736946008008,0,0.8803722534794335,0.6389530164505008
3,0.0643430405653509,0.08662445813764953,0,0.17665394456823597,0.15726908778161017,0.13386404956168127,0.0500789221589098,0,0.07547663906142722,0.020339069051998986,0.04319431327590779,0.013815118278656217,0.05650500076313111,0.047878754880887685,0.06166145284550376,0.012296149069049678,0,0.8556877430813402,0.6578819911803597
4,0.044972951897047024,0.08932377215537939,0.15182552070112418,0.01874610791589025,0.07357867925873696,0.12066735407304487,0.09374066341232243,0.04706977899712346,0.06023387097325041,0.025623018665387225,0.08326636027109965,0.07775773975698883,0,0.09677822946555979,0.016415952457045527,0,0,0.839780732069567,0.6550544867586215
5,0.08497315713817283,0.21009115870380893,0.030290815876071468,0.10780683580052938,0.048139697901243866,0.017558726501780173,0.009683759081514103,0.15218163626052253,0.059845743511298316,0.05827806560947892,0.05368056684913508,0.11302914149600882,0.011129625579107724,0.03190611184145219,0,0.011404957849875634,0,0.8730933825112455,0.6105671796937534
6,0.08317030258779183,0.02722644501313995,0.018973696844899947,0.10144357271640655,0.1222859367005234,0.020909019663035024,0.09118168586512365,0.07010748126888591,0.12894352283634886,0.09925664223659783,0.035239277141259115,0.1042357737543107,0.034080476793572234,0.016522859451544785,0.036144548908388634,0.010278758218171593,0,0.8973585288575183,0.5846844692080103
7,0.05049609842912264,0.07306701942429904,0.003995358467350198,0.18600145605272264,0.11657933383647105,0.11845551371342361,0.07192721903436637,0,0.09561156393373194,0.03199100045788562,0.042775581599644334,0,0.09866580501881876,0,0.02217198559444449,0.08826206443771932,0,0.8607286703369815,0.6466325030973951
8,0.029009485094044735,0.0546226591122685,0,0.14955928672017743,0.12142420805436491,0.023919178616833344,0.11993412077514139,0,0.139146983414172,0.07172098624974606,0.07267530570013356,0.10512515649741441,0,0.06045574772338052,0.049226093864515215,0.00318078817780792,0,0.8582033142966191,0.6270159938963548
9,0.0047622091574619045,0.01064836917410091,0,0.18265850717211324,0.17603439474757196,0.048793347453089754,0.10272521687187372,0.002614909342574185,0.13045808064429268,0.08892131694863173,0.045298546119498316,0.024664435149179917,0.08046783462245136,0,0.05139792109303267,0.050554911504127706,0,0.854296679056413,0.6309271468370581
10,0.006079772712418716,0.1559583126992413,0.017907120683145563,0.1220579750397544,0.0658974256621014,0.12308341428672384,0.03721753092190808,0,0.11000709658006916,0.08163856730416698,0.07361816450905685,0.044527136822062136,0.09273142264564546,0,0.009402932608026172,0.05987312752567992,0,0.8815867787884237,0.6497313778271324
11,0.11073627965354726,0.058395698641265294,0.15344133303499644,0.06336876524180626,0.06626698773688051,0.08982273415368401,0,0.05812335808152696,0.1256673029126052,0.06816058349381886,0.08914483453669358,0.0051005287150003445,0.04119098702963298,0,0,0.07058060676854233,0,0.8401385529480825,0.6423843257449492
12,0.01859334776266003,0.07237059385416356,0.01355661377137869,0.0620706015901681,0.17288013931796437,0.12417294781460073,0,0.10869622904112933,0.016987231746757942,0.08503436214290447,0.07671544392906042,0.04108776207719553,0.08207748828961428,0.002176964608607105,0.0624272725649002,0.06115300148889533,0,0.8116510228180586,0.7074509413841825
13,0.10406507851320373,0.04993571106237232,0.03311594667999429,0.047350109677475036,0.18928698446628792,0.15330672954432464,0.08136576578900752,0,0.09081501326276595,0.0424775832703258,0.10518591665247216,0,0,0.020216271937300488,0.022833139634345457,0.060045749510124626,0,0.8954765098513645,0.6186576259607485
14,0,0.15451131312519542,0.01366981508444512,0.12443614982796597,0.12362739863826683,0.09555326616454868,0.0044156310140016485,0.03278845373028069,0.11834444391587369,0.11440295812305241,0.05902992446831962,0.023820667399623574,0.04798416892151734,0.02431836933570446,0.06309744025120456,0,0,0.869955607608817,0.6542195328379409
15,0.10557521897297377,0.05679294517167041,0,0.15999412082486544,0.11924756454114299,0.06487305640213392,0.052178767924209016,0.009759300640505236,0.04682455400144034,0,0.0691965093576134,0.005362138529783651,0.12034738361219159,0.042431157214279654,0.05534503393297315,0.09207224887421751,0,0.8432419220725462,0.6793653014748432
16,0.11960472425254756,0.07757463448458941,0.0766092849279038,0.08946818706462674,0.033623036644194366,0.13262809281153645,0.029136751435772927,0.01231607591056142,0.07155453801559487,0.05865012744558574,0.09196250650096996,0.03526150386951299,0.04685484872241581,0.013362189497487196,0.03215343498799406,0.07924006342870674,0,0.8556261800413721,0.6672128775716071
17,0.06097225004400346,0.13739876418253025,0.05453749021959281,0.190641973015853,0,0.08350091487047398,0.11640346963201387,0.008968677980997338,0.021597690251486848,0.0628459345894923,0.06029430277160729,0.07611091714838479,0.08001064032390559,0.018861302558568313,0.00478028984925603,0.02307538256183418,0,0.8300062868278447,0.6796747717109209
18,0.1219471559928208,0.06322775469112865,0.12192031591113138,0.07617635029167702,0.08906455537949355,0.10026423407700026,0.08475941690613296,0.026730853628402558,0.034403449687616446,0.010751217045194873,0.07016671353069874,0.055627796721380775,0.0239474349526194,0,0.0666766247608784,0.0543361264238242,0,0.8586612572280743,0.6442825576376089
19,0,0.09841464791183036,0.07926690282138939,0.12813539454601933,0.07956579481235716,0.024172870890002383,0.03302912656736137,0.008025223274406223,0.1139913987575601,0.11719524757712084,0.03703657648231777,0.13421243936859034,0.07344132675293497,0.04770728188214411,0.025805768355965705,0,0,0.8620468292008641,0.6405495669200313
20,0.0919629608389691,0.049212694014230146,0,0.042470696064297195,0.07166333710603424,0.1284984837550647,0.10453803984312418,0.018844028255785194,0.07307303511599653,0.056011359893253954,0.053401775521149566,0.07557429006931729,0.10145456659106245,0.02994205046017486,0.05401610722493759,0.04933657524660297,0,0.8675523285510099,0.6616117289077842
21,0.00835259210672286,0.08165369060632979,0.11314763865404076,0.11428363965052364,0.027102434206551503,0.07408582775997383,0.05394229279998464,0,0.0766405141818883,0.030735292473141686,0.07886379506327357,0.08374555410298642,0.13525116842729776,0,0.09162542823799183,0.030570131729293463,0,0.8592218389693728,0.6565591517082546
22,0,0.12626415583882467,0.0020943241197318796,0.07340421808372918,0.17385266996543644,0.05110214075669051,0.03955468578798784,0,0.07539771573519649,0.1555482641271671,0.12227991177696412,0.024912645020447266,0.08421054748157637,0.017373727963695074,0.044347052908447857,0.009657940434105167,0,0.856501092851851,0.6799409608190565
23,0.04651762960524192,0.13977709307334063,0.0977116540879241,0.056610001079605114,0.05287763996805756,0.08305358672810309,0,0,0.16060762841823203,0.045719758817910065,0.054039131576486585,0.12277468408436237,0.013613498982514483,0.05739224033373327,0.02924757611553932,0.04005787712894949,0,0.8809797754964862,0.6144504414867046
24,0.06700799218078866,0.08304693360105701,0.09953983950694661,0.10487323201879853,0.04618608035329248,0.11149388985028165,0,0.031648703099684324,0.07728707105064916,0.016228425465467572,0.06373781853671932,0.06667662156049312,0.07546579968795687,0.09577319040900807,0.042325918560259926,0.018708484118596626,0,0.8481609347998915,0.6764698962450847
25,0.06138248043762904,0.03494066947676699,0.09845618543402512,0.06466336569419613,0.08277726067155416,0.12477328893312686,0,0.07237062039340413,0.07925225811204144,0.04614088992436153,0.13499876793996715,0.05075780012874635,0,0.06913518370948131,0.005102395972720946,0.0752488331719788,0,0.8025155656859128,0.6947040500354648
26,0.13051680793173007,0,0.0463353667680461,0.09668454252947715,0.12089816931777629,0.05182134353833462,0.0450031662268691,0,0.042139298624901206,0.008835410447699796,0.08374140021754836,0.02602529589944493,0.14523032795032342,0.003982550720401405,0.09629147832897389,0.1024948414984737,0,0.8294068028069561,0.6875540837658441
27,0.07792326178837163,0.09383228620601738,0,0.12278849406998169,0.08156058786150241,0.006823784852227889,0.09192953970190253,0.08598613431845868,0.10553398217297026,0.005787361984910286,0.02820415745445967,0.07503174809088574,0.07939234864413001,0.057380157617550005,0.06734362993228268,0.020482525304349127,0,0.9063001753967992,0.5938193879199929
28,0.09373741198177869,0.0603962375023907,0.07250511875475167,0.08907403108588714,0.1104936158058825,0.05613304594187091,0,0.06646080147060775,0.11875197906748612,0.08211836218559215,0.06371586984567945,0.013060820252098664,0.0775431625746314,0.0020517222767261916,0,0.09395782125461669,0,0.8458497438273218,0.6489611747881144
29,0.09405636766159167,0.010537183806198513,0.038351582720457605,0.120181774189519,0.04552579033308645,0.16402418867132396,0.07567885108418482,0,0.13016775037249548,0,0.05534828248397133,0.07800539708376007,0.044665278100817836,0.011386756383499607,0.025615086874943762,0.10645571023414988,0,0.8411721073367433,0.6483012724423357
30,0.08660014187599346,0.07850450202104339,0.0816607489527718,0.1576458472228977,0,0.11075960695159863,0.0001,0,0.11162105719095436,0.06781648790439053,0.04612803554861401,0.03621675602896953,0.06348598601180784,0.031766074717794315,0.06277223563880154,0.06493922171101028,0,0.7951787885263578,0.7045653912277396
31,0,0.05627513748668402,0,0.012079849768356,0.19246073747302853,0.01566757543651157,0.10767028668896712,0.07069598441782589,0.10212753998160869,0.09542911255240451,0.05463892296087106,0.07284337996911155,0.06115603534828089,0.0036111374135499343,0.10769517772626307,0.04764912277653719,0,0.8794165642343458,0.6147923765545599
32,0.026664372541113097,0.15354008714193068,0,0.09687350713518948,0.06534799117163528,0.024566491454463168,0.09526023009066364,0.04817215046710517,0.07248711983714136,0.0205873837652763,0.0859956627703475,0.09559572907334832,0.04426427268818798,0.03581411783402153,0.07640538751764271,0.058425496511933746,0,0.8140161677436402,0.6802967099573084
33,0.09150116435559269,0.07421382075551028,0.09053013709053243,0.056170498376071624,0.06636689822859274,0.12111727093796813,0.04512191971549345,0,0.10867691425293564,0.039879391090965034,0.04415478249711722,0.024008571591101348,0.0679997210077927,0.020785274534898913,0.06475307615330173,0.08472055941212606,0,0.8308324167642933,0.6751370203577687
34,0.020964610853538804,0.10542925861461562,0.05921913358795407,0.11973544201255448,0.08514488153323425,0.11318427374210485,0.015754129642595083,0,0.0937434698000815,0.10446943421182432,0.05271836630349486,0.03997451473339662,0.032301178731085796,0.08240131093567717,0.017899203871862328,0.057060791425980244,0,0.8398803294491088,0.6849580616426553
35,0,0.1268250290040174,0,0.1205998831979495,0.04076564401936998,0.029749082776849,0.11671240056757624,0,0.12710728161900553,0.05285627711792637,0.08554333525654118,0.06408779805088456,0.013032367568728267,0.05979252051298799,0.056102105798909806,0.10682627450925418,0,0.8396968394464692,0.6586699105109487
36,0.11879377975625248,0.14121205615352384,0,0.03884589268391304,0.14349165042971812,0.08575143802191823,0,0.08133023339471712,0.055620306378703924,0.16566986708392153,0.05328153436107695,0.007559979324398641,0,0.06161652057257523,0.025360036586854148,0.021466705252426763,0,0.8207968117145963,0.6866185180569666
37,0.050528124730551696,0.08667769812378451,0.022751311088012083,0.022353134513028634,0.013555076002436928,0.13692516353074888,0.13605707334395872,0.043515789307128745,0.02285310175791251,0.1001310690096164,0.088050135274609,0.006402942302416204,0.10506477162771549,0.01740674287143614,0.042799274418796156,0.10492859209784795,0,0.8312953534100207,0.6870293966131006
38,0.039378119672767574,0.19459807759186348,0.07404722919873562,0.06633909989520381,0.08579695694480109,0.10249023659879551,0.06288859297099988,0,0.07277621772337735,0.11097936728276474,0.08945899700929504,0.006262472149528932,0.012153204631945197,0.07214953014853927,0,0.01068189818138244,0,0.8308704503687901,0.6786040770607158
39,0.09259842002592711,0.09589749508292175,0.08233933635697421,0.0526648231435947,0.05521801381093833,0.14992230380814883,0.036857798212364026,0,0.12771679420512624,0.07789110900190295,0.03443836160093297,0.04794245397018855,0.02338160715438125,0.025503647603477765,0.012821013868348686,0.08480682215477267,0,0.8244094516631082,0.6689493910639353
40,0.036268393483925576,0.1550517410967395,0.0020402158204234308,0.054505191949417706,0.14071701679888324,0.03574515151064813,0.04969564830067341,0.02666057142308214,0.058774938538283986,0.0556827492654424,0.08512314109906623,0.09425861668110132,0.05779452981773839,0.03770911142220482,0.018354576322353724,0.09161840647001607,0,0.8656707701862989,0.6585241283898471
41,0.1401033960194475,0.049684070249896385,0.09854807868432088,0,0.0542730213969844,0.1274092054899564,0,0.09547621960548752,0.0642898413699715,0.052393558645114725,0.04265709997850497,0.05845792149298112,0.04347974390040243,0.06702799862671062,0.09546718688915787,0.010732657651063746,0,0.8396701078703941,0.6703331007460469
42,0.060177480266430425,0.06026703368867315,0.05625276754081042,0.10951889045342618,0.06200167268138549,0.08676686838072016,0.07609715357482118,0,0.10983101133052595,0.03644893572409315,0.12869037236780287,0.04766522698783728,0.04577063499005847,0.04401169753903974,0.011316498922581368,0.06518375555179419,0,0.8093408164527635,0.687943038756596
43,0.03149151480803066,0.10240378114589457,0.02703311098663229,0.13567906234542335,0.057698705537367556,0.0620105143818383,0.10203767008920242,0,0.09240445258078249,0.07154895371814678,0.11434442080193429,0.08509513384650301,0.040658327249182384,0.0022014213792088053,0,0.0753929311298531,0,0.8432233383686089,0.6606704930303681
44,0.03176280529919909,0.1627379678514426,0.04169417517196846,0.05120986349343012,0.05495766761974857,0.07223441037815265,0.05980444846654852,0.0470360491369925,0.12170697888154076,0.009746662618158432,0.1506432873396525,0.10025093027581594,0.03823611136618791,0.028396847501527808,0.009146408529632383,0.020435386070001775,0,0.8785786597894862,0.6195549116036316
45,0.020004105408972662,0.003631376842938868,0.022344234006645255,0.07050083796504775,0.11820242682588994,0.16009543976091095,0.01959555961975089,0.014358261122169026,0.15358229419006766,0.04533917982398979,0.10176961174964783,0.09693018386230969,0.07976696508708161,0.08279946471479521,0.011080059019782817,0,0,0.8609165596378492,0.6404244764077826
46,0.12827845776307648,0,0.08097593538549838,0.09460384923642993,0.01484192331119973,0.08942370414999408,0.12319424847549669,0,0.1125888703106833,0.02977792692749787,0.07933348946345468,0.07160926005317703,0,0.04725359037648493,0.031884734046902265,0.0962340105001046,0,0.8618182169918007,0.6324136669965585
