"","col_names","B.cells.naive","B.cells.memory","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Neutrophils"
"1","X0","0.0515170534027063","0.0887045200506205","0.0142817262914501","0","0.154857106955222","0.0303710254238193","0.152953184095089","0","0.218670415680448","0.12370531294726","0.118735793173089","0","0","0","0.0297505410023883","0.016453320977908"
"2","X1","0","0.0250070795283217","0.209256569154787","0","0.130434325183552","0","0","0","0.253927458133239","0.112598494446853","0.0739315990906776","0.130828443579232","0","0","0","0.0640160308833378"
"3","X2","5.90981601792384e-05","0","0.170649583884539","0.0623383243796756","0.105809074873996","0.0423489115456042","0","0","0.165763434726654","0","0.0908367916397874","0.0524925580147398","0.0454872930260286","0.033335460763702","0.155404364160164","0.0754751048249295"
"4","X3","0.0683690491535339","0.174765622857811","0.141545430601198","0.126130790079616","0.0846113787132501","0.104029252478028","0.0466344687671819","0","0.127580301509529","0","0","0","0","0.0753538581933671","0.0509798476464852","0"
"5","X4","0.0881736173249039","0.0323409489974572","0.219225372635162","0","0","0.127191777050354","0.191897243315659","0.011603428545969","0.105752728316033","0","0.0744101124041564","0.0875751576044801","0.000863326122867367","0.0609662876829581","0","0"
"6","X5","0.00317683515428613","0.385835123643198","0.0669680694103829","0.0666952241879652","0","0","0.0479293566912684","0.071016672295088","0.213467426106513","0","0","0.144911292511299","0","0","0","0"
"7","X6","0.0318249029100186","0.0242492314339563","0.167689248931642","0.0364351535443244","0.125409171515853","0.0196717247252453","0.196006992950863","0","0.20577826238086","0","0","0.146342474084289","0.0142449120003062","0","0.00176142598567585","0.0305864995369661"
"8","X7","0","0.065777358458443","0.0088081503183414","0.155540885345911","0.237263376743447","0.179696213721078","0.11498143144185","0.0095891161697754","0.0532494351464265","0","0.055245136467863","0","0.0280820538217691","0","0","0.0917668423650967"
"9","X8","0","0.0580682824101717","0.0302218289766036","0.0696401048520845","0.097284845963565","0.0111751361776129","0.0998167974752744","0","0.286208819218424","0.00748106569608353","0.00734633166142813","0.184857338303061","0","0","0.112809981552369","0.0350894677133219"
"10","X9","0","0","0.0185977562962076","0.136110135212834","0.200873362229454","0.00938914453114793","0.0776322364002842","0","0.303651628736567","0.125272100034555","0.0482498452673694","0","0.0603405148906801","0","0","0.0198832764009011"
"11","X10","0.0272911679856136","0.139627669240944","0.0596281486459781","0.00889975717981897","0.196130837876446","0.0510950661202176","0.0221442881582646","0","0.220210684576452","0.021953016130568","0.108575108738748","0","0.00678436019165077","0","0.047257864319576","0.0904020308357217"
"12","X11","0.114873683460987","0.0526545280216954","0.156634652149592","0.0392984604973251","0.0801562737159794","0","0.0584339540316424","0","0.298100627650838","0.0113856502033003","0.0973203528132418","0","0","0","0","0.0911418174553981"
"13","X12","0.0764907722734082","0","0.11012428241163","0.0861806704181131","0.0404715001572157","0.0452465913893123","0.0726211104902612","0","0.12460971278524","0.0233991698972679","0.148440611925994","0.0711788527606755","0.0447607028706127","0","0.00656064655640405","0.149915376063866"
"14","X13","0","0.147265423647322","0.166673163483598","0.161183528288662","0.0766258663791451","0.13773755253197","0.0889422758503055","0","0.11857860195539","0","0.0663688877652743","0","0","0","0","0.0366247000983335"
"15","X14","0","0.0715588000658672","0.0378719497351017","0.148613629477967","0.127166019359603","0.0126903931035261","0","0","0.342583671584209","0.0314774819686215","0.116535357564104","0","0.049601442350255","0.0282028639466499","0.0336983908440953","0"
"16","X15","0.199274102600828","0","0.200618919192804","0","0.119827391184354","0.0315402599585292","0.00307692648452504","0","0.117636545057959","0","0.0384900782209559","0","0.0964287756492811","0","0.0317231444117296","0.161383857239035"
"17","X16","0.167895426144441","0.0286909565679077","0.254754921991292","0","0.0445176572173507","0.136271676034703","0","0","0.0491428758898292","0.0401008586308987","0.0998924753600378","0.0100673279770724","0","0.0251206881993615","0","0.143545135987106"
"18","X17","0","0.244318109701116","0.102109206114016","0.0812871243589932","0.0233770175577238","0.0190172959964333","0.130621274541958","0","0.03243209873972","0.12511286700752","0.0931503950243958","0.123717502818128","0","0","0","0.0248571081399944"
"19","X18","0.0803237938009509","0.0573823977483518","0.253070853171734","0.0116716897590619","0.165723926289191","0.0419940381217809","0.0308509285429022","0","0.136729299589541","0.00023821196315206","0","0.030209410044426","0.115960310724939","0","0.028277707539935","0.0475674327040346"
"20","X19","0","0.0872649671742558","0.158077579181757","0.094454456526966","0.0212158953767788","0","0","0","0.247682049664129","0.0812814030256727","0.0534680428003123","0.196134829942147","0.0128047233999263","0","0.0476160529080564","0"
"21","X20","0.0172095364963888","0.0537419597210937","0.204148711535093","0","0","0.0969755621419246","0","0","0.214257681920529","0.0437048988195329","0.0665875540143616","0.134188707112636","0.0551931991258538","0","0.0736253924902314","0.0403667966223556"
"22","X21","0.0189996828584247","0.0624766584343798","0.0560341157611382","0","0.123453372504279","0.0635365377498477","0.196390204409031","0","0.000676243896064188","0.0199299254221083","0.120168847919686","0.154981679685513","0.0495741814021658","0","0.133778549957361","0"
"23","X22","0","0.0870459749902706","0.129574701638496","0.113057455107182","0.0953916147334984","0.0189221762952509","0","0","0","0.176524061373802","0.172717950740276","0.089390966211071","0.0638251993816209","0","0.0535498995285324","0"
"24","X23","0.10472341346415","0.109737722999259","0.0477311718214469","0.0702862724603801","0.118782212440511","0","0","0","0.247024130277616","0.0155086790217134","0","0.225243718231555","0","0","0.0336033187064282","0.0273593605769396"
"25","X24","0.0127563508548317","0.189561546551989","0.230361619467627","0.163508138177589","0","0.0834874558711113","0.00792696981475478","0","0.0988790037143752","0","0.0463175700742221","0.127350079033586","0.0398512664399134","0","0","0"
