Mixture,B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils,P-value,Correlation,RMSE
0,0.154556924189529,0.0866201061235896,0.177258589807616,0.254011628959482,0.243835598360634,0.083717152559149,0,0.818203668493228,0.674475926173998
1,0.142119533310929,0.0701157602221426,0.11097019840693,0.303964680717198,0.284655213790805,0.0881746135519959,0,0.803802224570845,0.65958036531642
2,0.12072117689161,0.189869188274572,0.061579229250961,0.283003790298768,0.184556892513783,0.160269722770305,0,0.785308794491065,0.686175232907297
3,0.225499360355669,0.0295630002067131,0.324200869926283,0.245896796717294,0.126284459874497,0.0485555129195443,0,0.685548884952987,0.786915475462926
4,0.185449847406075,0.0489378463791907,0.281835601669557,0.25872001545105,0.175657016742223,0.0493996723519036,0,0.797310702005598,0.718709049902002
5,0.26834221454967,0.15213921303841,0.147430377079574,0.220035893585546,0.157922602576812,0.054129699169988,0,0.808324699289905,0.713709301199942
6,0.145618591834841,0.0535840112874887,0.225842161814711,0.300094688806701,0.174053126146088,0.10080742011017,0,0.792309068083225,0.703412278139512
7,0.119193685022131,0.0116317706190867,0.356239624708225,0.228977492673661,0.157738985231038,0.126218441745858,0,0.808678828442064,0.70307767914179
8,0.119113999412804,0.0130494958395299,0.257560137132016,0.295633914691345,0.230970728875862,0.0836717240484435,0,0.805634435160999,0.682431637153511
9,0.0767986790906492,0.00341308161809965,0.283311267851819,0.284682695326328,0.27855524399338,0.0732390321197238,0,0.805272831122071,0.668820288964731
10,0.202418303667598,0,0.260408751448356,0.214162422872103,0.209387940979087,0.113622581032855,0,0.800047931658627,0.693768178315248
11,0.204588596290259,0.125482562445931,0.0747032618636975,0.314963204101494,0.168178785619773,0.112083589678845,0,0.830868157470812,0.668091129622558
12,0.154014289462772,0,0.300406679874593,0.146223091620034,0.245037640285996,0.154318298756605,0,0.821572886089093,0.656300986658084
13,0.145154460457187,0.0495860432517197,0.337533662533416,0.232388864713072,0.155438886528938,0.0798980825156672,0,0.791276142848893,0.727757854725905
14,0.102982645057694,0,0.323397628249896,0.276782896882327,0.209907555108992,0.0869292747010902,0,0.803903923046376,0.69363860480878
15,0.202851935245633,0.0571152677123411,0.232899558151313,0.206319018219576,0.173147893170545,0.127666327500593,0,0.812602294151487,0.694630688169896
16,0.135202153584636,0.0912801570225112,0.23549939076401,0.201034745454168,0.214379759432433,0.122603793742241,0,0.826165390519506,0.676013722419218
17,0.165809738845359,0.288755378210306,0.0518001719571251,0.129360087282498,0.291851050940947,0.0724235727637651,0,0.820134047377659,0.667902143295103
18,0.18521736726237,0.349998035834898,0.0140938511485863,0.194040361530917,0.150479456350926,0.106170927872302,0,0.775937908046124,0.731567302140754
19,0.195277451600252,0.0691825850047457,0.154634621120603,0.254311086652402,0.270758580524925,0.0558356750970725,0,0.77234299817921,0.700223526735004
20,0.183165563480742,0.0810556226161541,0.107906618036986,0.29422187388907,0.219252820206876,0.114397501770172,0,0.815790489942622,0.66685042887971
21,0.159541272586331,0.0300075793708676,0.260260861468843,0.218701732919308,0.265826688252147,0.0656618654025035,0,0.777311099201522,0.703131466411617
22,0.121903611885657,0.233282452254763,0.0760246890095953,0.130680395197356,0.37321740763184,0.0648914440207889,0,0.784617585164688,0.66262069507377
23,0.196881037292541,0,0.27710519608184,0.224161102857162,0.216235660050643,0.0856170037178135,0,0.799311325235701,0.70009948284399
24,0.20438691887142,0,0.303924183991978,0.212179453417631,0.267090875552493,0.0124185681664782,0,0.745109409975126,0.730583855259008
