Mixture,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils,P-value,Correlation,RMSE
0,0.0490566223614508,0.0956330718666192,0,0.0398929254393741,0.156165230505877,0.042802216717718,0.118767428965652,0,0.13258261851262,0.10514106032217,0.082240582323784,0.00894596346576638,0.0288793733729726,0.029880634378174,0.0658091304432198,0.044203141324601,0,0.878069906347489,0.632186657539914
1,0.0543093519277567,0.0403283607462893,0.11062239308423,0.0840051197363792,0.0986550907792235,0.0481888926500998,0,0.0433588651013752,0.120790375757694,0.11290125376716,0.0905559975182979,0.0886100564113226,0.0269379370840164,0.0304698572788889,0,0.0502664481572671,0,0.914768708630721,0.601208646891763
2,0.0500103624015777,0.0281823639916937,0.0919807537568599,0.112462444212858,0.0838178599707204,0.0725843530451597,0.0117044508339589,0.0142522770384924,0.100820645349932,0.00997607580663055,0.0963461060251707,0.0524451777907661,0.0501317108920354,0.0725649306675158,0.0855525243343614,0.0671679638822679,0,0.918640469001426,0.617458153373592
3,0.0932625376136586,0.0641822638072935,0.0855107387800036,0.162880842197594,0.047583722831411,0.104769564257328,0.0689404035811105,0,0.101179803971197,0.0155392438721801,0.0487957240276603,0.034400120792434,0.0411969995201448,0.0745170898562238,0.0465559836522738,0.0106849612394873,0,0.899630050422626,0.616209795445364
4,0.0496755635946177,0.0778209324051415,0.11077101712238,0.0164746251658788,0.064175264350433,0.139881861013198,0.12938483766978,0.0437130346052222,0.040909007876141,0.0562656812909719,0.0664191525835293,0.0595902773730586,0.0444166727310065,0.0726708170377378,0.027831255180904,0,0,0.902236228105679,0.624996765363799
5,0.0548999960488357,0.223731137614915,0,0.178481379761703,0.0307222934196868,0,0.0611845719329079,0.0981188485467942,0.100613519563971,0.0219205363542709,0.0409962385369904,0.0791320754431647,0.0512111738729382,0,0.0332862697732575,0.0257019591305649,0,0.917111596373864,0.568290337419429
6,0.0674104991733433,0.0380970533751119,0.0799354158991096,0.0469357821857721,0.1689829585407,0.0557102125935539,0.104502837476997,0.041572726153472,0.0952727072192288,0.0390431230870076,0.0194839549044781,0.0686357890636985,0.052603943998246,0.00765360410604202,0.0475989591507622,0.0665604330724771,0,0.926270324098871,0.568698605997787
7,0.0247701387780706,0.0772731374822148,0,0.164284410647004,0.17426995981272,0.150115704160833,0.0310310388511467,0.0595773712377217,0.0623111076756636,0.0115367325753737,0.0785520486723483,0.00386791698517034,0.0517604358688067,0.0211803703654506,0.0164802944489022,0.0729893324385735,0,0.90380045646157,0.616077646647892
8,0,0.139782267945787,0.014373631367233,0.111809238749452,0.0669627844354428,0.0674723337948988,0.086759070174396,0.040550092831556,0.109101183627397,0.0519562423418415,0.0628739395956836,0.0831443345570971,0.00734592706938269,0.0331541200000078,0.0768610298341332,0.0478538036756919,0,0.918311181058844,0.595639603710747
9,0.0237763049748753,0.050440017874006,0.000835476333586262,0.137528016260019,0.20808319371716,0.00240024598362462,0.0318989200564898,0.0501762175543655,0.13614975316544,0.103046329522154,0.0690178015378944,0.0341253536273017,0.0665461374143535,0.0109354226510667,0.0419071026921505,0.0331337066355135,0,0.905426271418693,0.601136181152097
10,0.0678882299698913,0.0834898173326909,0.0211038967726895,0.0708619791699836,0.137651861087549,0.098807871444371,0.056062164083537,0,0.108388060978093,0.055734118555168,0.098873492558249,0.0268587855426377,0.0362143250709409,0.0171663003989433,0.0506524927648236,0.0702466042704324,0,0.92103082725514,0.61610101172869
