Input Sample,B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils,P-value,Pearson Correlation,RMSE
0,0.1860095527425119,0.23579500306527168,0.01188760362888334,0.241076819367549,0.2800793489215637,0.04515167227422035,0,0.491651261600733,0.8698762526258782
1,0.1312965491450911,0.2981960462440765,0,0.21581183053946615,0.2533048465318205,0.10139072753954571,0,0.5009727472753571,0.8648336040619233
2,0.17316948617743577,0.004941802269434028,0.16257776464290322,0.29809838704789987,0.2595991730540662,0.10161338680826101,0,0.4472844975455911,0.8958013687005081
3,0.2379862708614945,0.052282873918182725,0.35728118699582684,0.1960057065948782,0.15437727769833032,0.0020666839312874154,0,0.4427133241895676,0.8976776848610072
4,0.2092251405218389,0.1078145947074204,0.2236532753578175,0.2661534182053555,0.18376013354509213,0.009393437662475598,0,0.4682565970701313,0.8842498916931004
5,0.32487687966064016,0.23544696264589574,0.05375970453144902,0.22206892924340035,0.1422999126500069,0.021547611268607863,0,0.5282518612860175,0.8528609296750604
6,0.15378164953262657,0.008570300861688208,0.22732721405030248,0.3610432714634211,0.15089843902722144,0.09837912506474024,0,0.46815579448546035,0.8828918750074047
7,0.1361404887922113,0.04349920919300344,0.3576161129118546,0.17119741494576082,0.1785600506925945,0.11298672346457535,0,0.47156280454770994,0.8828448069659258
8,0.15752410667008748,0.0183556625275369,0.2607580630556679,0.29015629976999163,0.20052911051399236,0.07267675746272381,0,0.46306779858317026,0.885668322752866
9,0.051446849478585625,0.007621543919471388,0.31876686582496866,0.2784906514244667,0.27793931123542287,0.06573477811708478,0,0.4791638743355242,0.8768271163963826
10,0.24432646255671175,0,0.16994138265164416,0.2518168686478689,0.2195813072424959,0.11433397890127922,0,0.4798704173629445,0.8765945017949203
11,0.21300879369923897,0.1229744218383171,0.04641782375105674,0.31908790431874484,0.18519794513661395,0.11331311125602848,0,0.51169655061575,0.858751437317092
12,0.16904242820265816,0.09457901327026931,0.2400039236165097,0.044897344525673386,0.2681360519843131,0.18334123840057628,0,0.4983931415717348,0.8675357574845292
13,0.15895132695036984,0.10947990504428204,0.32145978257096997,0.20984115423163685,0.11694017333906746,0.0833276578636739,0,0.46891217338056745,0.887582771540456
14,0.14763393457873347,0,0.2547377800804115,0.32964306610649385,0.2255134040911186,0.04247181514324258,0,0.45438658126295783,0.889949702589633
15,0.23242890216088516,0.1068391966603243,0.17217534346127253,0.19459305594393014,0.17113885769122064,0.12282464408236725,0,0.48079976909297056,0.8766349319947901
16,0.1748835871003315,0.3090792024878948,0,0.179255004824549,0.2177749638629213,0.11900724172430335,0,0.515437647599521,0.8577553855089904
17,0.19468543713800504,0.40858768343220464,0.011038579110916024,0.06516642209198407,0.26594893376203177,0.05457294446485853,0,0.5265722285171074,0.8524290318126115
18,0.1912821456655017,0.41222312605854805,0,0.17093758138345033,0.1310679889089208,0.09448915798357911,0,0.4399915804402396,0.8987705838005492
19,0.20438274131603776,0.048449423059423215,0.16262715161055755,0.22892982782979496,0.31745748736229806,0.03815336882188843,0,0.4817903741520558,0.8762384987679909
20,0.19523622835021198,0.1532835171436261,0,0.3572907527700039,0.22655765304895265,0.06763184868720545,0,0.47458653662306394,0.8796868574024151
21,0.1519098495025888,0,0.34320845717946996,0.2158789043470799,0.2212789227574924,0.06772386621336893,0,0.4366085163595498,0.8987879284250109
22,0.16177469943568276,0.05244824141166805,0.21239677987419023,0.12589106047667215,0.38738700025531114,0.060102218546475746,0,0.4930093160134992,0.8732231959237586
23,0.2679702484163611,0,0.303399804694876,0.19476358790183457,0.18768509118824453,0.04618126779868372,0,0.5170551518205543,0.8593055679564562
24,0.25325224178565636,0.10540447982392288,0.23527836706686328,0.15961084112677293,0.20903936751652988,0.037414702680254756,0,0.46148716221992464,0.886879918161378
25,0.15573216288938246,0.00911217764314628,0.27903323523416346,0.26695469785815074,0.17009630294472106,0.119071423430436,0,0.4800743751990349,0.8772675546194936
26,0.23867075223098175,0.03008540674172939,0.09576275420633146,0.25422583255994635,0.26633559629769626,0.11491965796331484,0,0.45683459872343224,0.8921770571409606
27,0.17574428550184973,0,0.13970441248269497,0.4558527598294702,0.2133339930466829,0.015364549139302222,0,0.4463039346784551,0.8965826632018987
28,0.1590732353864581,0.10530111891548735,0.15140809881090883,0.22595547256903273,0.2182737240318737,0.13998835028623935,0,0.5125489264895261,0.8584046534656148
29,0.16441257595785252,0,0.30003571172485777,0.19923128138780608,0.17577773047856365,0.16054270045092006,0,0.4914990868971911,0.8706046307374643
30,0.30328129106612906,0,0.21193973966300206,0.17001234803216433,0.24072824631311776,0.0740383749255868,0,0.5115384125451305,0.8585146537356367
31,0.07934215949347147,0.3913656306852529,0,0.20013667345598488,0.2509004135154758,0.07825512284981503,0,0.4817620781619833,0.8758214843595629
32,0.264792243511666,0.31841074518596724,0,0.14805354290627598,0.16944088856501077,0.09930257983108003,0,0.4804437485247987,0.8772624084112942
33,0.2360916256189027,0.04851417493394785,0.17252029045844652,0.15690424827366847,0.23116625314143652,0.15480340757359798,0,0.5441465061046641,0.8389424364579245
34,0.14561085175701746,0.03402372324730488,0.29802738149458113,0.14355877867325617,0.25847040553663353,0.1203088592912068,0,0.48289589399480454,0.8747803121704921
35,0.2253857192790077,0.10980533148786495,0.1191392300596772,0.21732809540621362,0.1855711884025291,0.1427704353647075,0,0.508496191823887,0.8609064064885507
36,0.32086478111545763,0.029493865661198188,0.18537164424826985,0.17335130603599103,0.23623008368694695,0.05468831925213632,0,0.5635171389625883,0.8282086663673072
37,0.1598616654197538,0.013130932936084794,0.16870326810394692,0.23841670310313604,0.2551055327009703,0.1647818977361081,0,0.5311304227572942,0.8468069943732338
38,0.32572308309403336,0,0.2882582639253894,0.09565301867537283,0.24256607678769135,0.0477995575175131,0,0.508030393347512,0.8606274959646322
39,0.33269536298172403,0,0.1578459233713379,0.18236460069808322,0.16686280034816625,0.16023131260068865,0,0.5213684248138476,0.8526038940206327
40,0.22601719928570763,0.10865784038179174,0.09963681102124688,0.2129850999765418,0.19791284052572464,0.1547902088089874,0,0.5182910493687227,0.8548199168636162
41,0.3303580592003138,0.1358199570586415,0.0596282069920503,0.220642393007035,0.19449172120253516,0.05905966253942427,0,0.48859842900077555,0.8716320857749382
42,0.24287585991452618,0.0778841561445521,0.19670159596691933,0.1692294429484203,0.19357946459787498,0.11972948042770716,0,0.47123357985560743,0.8811789213872941
43,0.11446885217723124,0.01246802809525913,0.3253833371842143,0.17943111790766814,0.2660704529918585,0.10217821164376871,0,0.48548626121105637,0.8733795913703477
44,0.24533103772438733,0.1753995207032569,0,0.3682489684432089,0.1852367430872544,0.025783730041892446,0,0.4767900117862663,0.8782310230912872
45,0.13430733663853894,0,0.2343218321683999,0.36927958016777135,0.2537610186024045,0.008330232422885307,0,0.41310559624617615,0.9128450574104866
46,0.24655556352374944,0.18185911656980758,0,0.24370425478060315,0.1170708853995016,0.21081017972633825,0,0.4707762899116731,0.8820132808452119
47,0.2738837610288097,0,0.17820218341167493,0.3272762589055429,0.16334864943771973,0.05728914721625276,0,0.4633374149023191,0.8853101010463149
48,0.3827517428993255,0,0.32617455719358324,0.013040031644617965,0.22685835259199824,0.05117531567047504,0,0.48453005814637784,0.8744196316197487
49,0.18314462293578573,0.058739835410815754,0.1541243464144584,0.3543497695082766,0.1275208336140027,0.12212059211666074,0,0.4523406987149072,0.8909572113580627
50,0.20629975297684933,0.3001880592250257,0,0.21110084313026237,0.22420699539665243,0.05820434927121022,0,0.538582907824304,0.8465031750804429
51,0.17123368022502944,0.20088251902389873,0,0.41824844506383985,0.1272435923335439,0.08239176335368814,0,0.47624038598224494,0.8785180657816369
52,0.18537052642529728,0.05190800293418859,0.2724580578042036,0.22831841598026562,0.18715561860352176,0.07478937825252314,0,0.4659653837913481,0.8850664013515669
53,0.1965656947315221,0.16515874078742607,0,0.3352765251514607,0.18604831834628172,0.11695072098330941,0,0.5315199687975892,0.8471984309319235
54,0.200658600705303,0,0.4487305957761879,0.17160785517673208,0.09492613327569935,0.08407681506607771,0,0.4854155589117873,0.8814315892610194
55,0.2202203199541933,0,0.30583697031730167,0.16954701865316715,0.2653173305962385,0.039078360479099336,0,0.47733333198436256,0.8778906788024917
56,0.13873516727717933,0.18031323363794338,0.17266838311752317,0.2003649387472689,0.17351231363639597,0.13440596358368925,0,0.5186190122700277,0.8584068867920341
57,0.0900961302180722,0.04430716934133061,0.2437100893214559,0.24877701908811586,0.22663526480598575,0.14647432722503964,0,0.4814625600607777,0.8756096211277461
58,0.2036844991700775,0.30217920113813573,0,0.1739778094513762,0.2246363320642883,0.09552215817612217,0,0.5026925186764665,0.8647146331913239
59,0.40942765864546665,0.04360340445776801,0.15484843223270592,0.08031083187832228,0.2375494900672227,0.07426018271851444,0,0.5635733414880618,0.8253915742502336
60,0.22485711307015457,0.024060703554413584,0.25928377204279596,0.2127451628286871,0.23727035767663887,0.04178289082730987,0,0.5090813134221188,0.8616261605687368
61,0.25629932851354964,0.01788278172618121,0.27117600102795725,0.14870328755636134,0.1895306922049336,0.11640790897101701,0,0.4633432373792438,0.885287059897222
62,0.20070963209007434,0.10998582362617582,0.20014937520974427,0.1917156087342934,0.16111638715472312,0.13632317318498904,0,0.484437893538697,0.8752150539318146
63,0.06226646025826573,0.09967175624046137,0.1970076807220947,0.31590334950623916,0.26990560127436103,0.05524515199857792,0,0.5187865316665199,0.854535395960168
64,0.10161773274584328,0.3207481262041911,0,0.2862244047915841,0.17837950770587752,0.11303022855250398,0,0.4304659424801527,0.9019357518175635
