Mixture,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils,P-value,Correlation,RMSE
0,0.0247424917892576,0.142952217261559,0.0947890101452948,0.0608952217044813,0.0711866017058799,0.0343205113673056,0.0280761034969698,0.0151470572676056,0.142881581460938,0.0699304968032303,0.0879795671167715,0.0231693658796064,0.0703247609524738,0.0450831021492025,0.0451019908118565,0.0434199200875669,0,0.898572760203199,0.622700721551184
1,0.0489153343580204,0.0630759117889305,0.0841571930364302,0,0.180427289913249,0.0470915549918205,0.0625575802800754,0,0.15425593720207,0.0752770887644708,0.0154681649598914,0.0676244313061374,0.0497865084065787,0.0683625481063738,0.0304396673712296,0.0525607895147221,0,0.888005974460551,0.612194886444315
2,0.0555155763922897,0.0326104698100888,0.0778961881057366,0.0779868525748426,0.124156332602483,0.0773374294511343,0.0586483900598566,0,0.102401516792703,0.0659926755894639,0.0556256756342399,0.044998482989538,0.0788607212443096,0,0.0936922666487164,0.0542774221045972,0,0.897293739270702,0.626252576872827
3,0.0263901403873031,0.107097932598573,0,0.232804466978853,0.122076816619116,0.0352965752515654,0.0818541898545858,0.0186293000668803,0.115963866627987,0.0512271263105396,0.0434925607007923,0.0183281476166446,0.0284223237149006,0.0499620655299563,0.0624946764736174,0.00595981126868564,0,0.88497225345197,0.614091295618912
4,0.0622237158346047,0.109700270712306,0.0311328492158066,0.0339938321691884,0.155228930327938,0.0666260728033493,0.12336772745186,0,0.106060978187174,0.0244407992577727,0.0738185823246437,0.043624023902975,0.0447530201909717,0.0649273026635823,0.0514877286282056,0.0086141663296224,0,0.912513497498124,0.606800135564515
5,0.0900099242370535,0.158479837870788,0.00499697393452889,0.096330784322127,0.104892818712852,0.00836608990875341,0.0493505380047063,0.0595534626739485,0.125396731605028,0,0.0733498508690481,0.0815540828619411,0.0338999740238885,0.0203678346862726,0.0471102537619795,0.0463408425270851,0,0.913062680386952,0.581260885454303
6,0.0992865116218849,0.030191209654113,0.0747405983318556,0.0953948054564722,0.121109870197818,0,0.121054551805048,0.0445759104138338,0.11413652691614,0.0482852610166093,0.0350116265014485,0.0862602204964609,0.0538095611975836,0,0.0468711708596458,0.0292721755310866,0,0.919077396209393,0.559825657057348
7,0.110444890855212,0.0184290355531712,0.0211884150651811,0.14606118919003,0.137978490368604,0.155120767715497,0.0703888219380338,0.0292492259667888,0.0512553986175912,0.0230735203316587,0.0931428433598298,0,0.0439788505540251,0.0142354596936954,0.0164331864405862,0.0690199043500954,0,0.887769843525499,0.631174461977985
8,0.0154456928913336,0.128134216042073,0.0584771867851842,0.192692660359648,0.00699297632659002,0.0472175056232982,0.0952687515726412,0.00659653180757379,0.127861406362867,0.0382471924692466,0.044251603812981,0.086387716684086,0.0290881439154929,0.0309377282195807,0.0646887170042919,0.0277119701231117,0,0.90022389079155,0.597534455318906
9,0.0560276831882578,0,0.0598814384169352,0.096935481470017,0.17502164292257,0.0619162187996461,0.028211860818338,0,0.138870157211054,0.114769913602473,0.0339415058588332,0.0191214144091091,0.074406053708809,0.0232812792854683,0.0657578096031503,0.0518575407053386,0,0.904897419699167,0.61217637782981
10,0.101898353990468,0.0410834460882865,0.0472553004628575,0.0794176193608113,0.113769701852763,0.0513908993378418,0.0364312981764442,0.040718056540547,0.098905947966144,0.0728856767420882,0.102284753950947,0.062477742154384,0.0704634612370647,0.0143350671656195,0.0334711656684207,0.0332115093053124,0,0.902884011286953,0.625729342456922
11,0.0631923914908529,0.116889370215261,0.0448929232929974,0.039282511359821,0.154679562517887,0.0692903864001449,0.0519781379905031,0.0193586565207161,0.141908468904016,0.0756156604157995,0.0479898912853217,0.0121974195918374,0.0304791085915058,0.046550336878334,0.0127438250395055,0.0729513495054961,0,0.888604726225462,0.614809871265234
12,0.107986710918002,0.0286950025650976,0.0226121574349444,0.0417883388733749,0.152820992981672,0.0968586035467245,0,0.0525743991663957,0.0738572377095353,0.0732996145807774,0.100919966767846,0.0525973089234008,0.0601142219468687,0.00448939679058081,0.0621319339503479,0.0692541138444324,0,0.881896465056105,0.654682481654386
