Input Sample,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils,P-value,Pearson Correlation,RMSE
0,0.012627356299598245,0.18093943081164598,0.05916434618828166,0.04429768535993118,0.08711896723117203,0.047584411239898046,0.030545438509913692,0,0.17728405290279742,0.08609472811296465,0.14268689781726526,0.011982759950075035,0,0.060142785046127564,0.04269624379600905,0.01683489673432023,0,0.7962127789658537,0.6857605161417482
1,0.0372433751698229,0.05928148472068343,0.08109843730837142,0,0.16398950196611606,0.03283453582264806,0.07877300845967591,0,0.18140069856408977,0.0917132627949686,0.015989297661729622,0.08107982226894607,0.03323236764160452,0.08297657414444806,0.010334961596381793,0.05005267188051379,0,0.7732335063372275,0.6869032935677668
2,0.02372376516873762,0.05742816527682218,0.10665817724877981,0.05068317188260347,0.11996773997801288,0.08851562953980283,0.05628123721583183,0,0.0911545347083234,0.06537492557320743,0.07145139116456184,0.04414020006680009,0.06346212203958866,0.0032214326849698874,0.115803922796064,0.04213358465589414,0,0.8162032573709778,0.6833352372313514
3,0.0009,0.11506974300242168,0,0.241503215107926,0.17956575888616078,0.0303186512529638,0.1040971782003898,0,0.14035005724475766,0.03427859307093627,0.03935534564174725,0,0.004956168877193613,0.051452434960458225,0.05548347601928681,0.0027025499125057275,0,0.765788653273356,0.6851625017328985
4,0.11476435382120867,0.056562243233333656,0.03984707867739805,0.05640001687168637,0.11647280225278246,0.05791191983339611,0.16332210172790634,0,0.08263380458349256,0,0.05140619840967198,0.050239042068604585,0.04758425442404656,0.11955693340333423,0.03339739788977951,0.00990185280335889,0,0.8095207963687809,0.6795665364502396
5,0.08999093792493143,0.1999865785785673,0,0.06394470475147264,0.12915482689430177,0,0.05979766603136958,0.05882954497496537,0.1350300096533988,0,0.07476298145382199,0.09118593832881342,0.022799093257284686,0.015051365177701215,0.029882140022278562,0.02958421295109321,0,0.8054165119226758,0.6561220670492997
6,0.10696763657159686,0.02588579787517862,0.06765281086506789,0.11167952622465573,0.10294560608398454,0,0.15874471470625462,0.03149018728544675,0.12468348956946976,0.015600885946192139,0.03478297068019308,0.09458450212816795,0.04051357048066078,0,0.04492217889082202,0.03954612269230919,0,0.8496759517017889,0.6089488578242888
7,0.14835647852568176,0,0,0.18336813194868748,0.13643441469566944,0.16715549974064367,0.06854206680924674,0.03937744262263414,0.04072791051852521,0,0.12339474462909639,0.0030155596035940997,0,0.011103331797624754,0,0.07852441910859632,0,0.7794561967185889,0.6969039687874939
8,0.014307264610165528,0.09699529458365441,0.07672528756579959,0.2291553985084173,0,0.033597874289878156,0.11055836667354088,0,0.1587484306040717,0.025766729708640277,0.040686813846822226,0.08785382541386877,0.005569090244682972,0.03440555107694863,0.0690489194117446,0.01658115346176501,0,0.7888096625410735,0.6656970090452599
9,0,0.026693154877764552,0,0.09797500320241911,0.24240352274783591,0.07164624544891572,0.05267517273607495,0.00884968446005757,0.12540489398299673,0.14780085415736008,0.05162380446399007,0.007943177342157179,0.06012453227656364,0.0054181789618682205,0.061575864137501,0.03986591120449525,0,0.8067586990535498,0.6796984148841982
