Input Sample,B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils,P-value,Pearson Correlation,RMSE
0,0.184427572266136,0.17125439180717617,0.08067754948190066,0.25357405172087216,0.20884922476829829,0.10121720995561674,0,0.5362542398728585,0.8464555480822351
1,0.13014497333257685,0.1107384301661563,0.14641912025827294,0.22317817085778827,0.2836288750632974,0.10589043032190819,0,0.5228072825792776,0.8518015146425173
2,0.1367488937344118,0.12650417864442765,0.252834399822034,0.18786748268526318,0.17132090360268012,0.12472414151118323,0,0.47781691937729365,0.8794595465886446
3,0.22495258863441825,0,0.3816877981823914,0.2297085888647838,0.1546742246076044,0.00897679971080216,0,0.5049237249480099,0.8690576242133013
4,0.17397640610365006,0.19617209190285723,0.11670520792137709,0.31187854583610924,0.16910592799546342,0.032161820240542954,0,0.49960804593885005,0.8685020726445535
5,0.37119812409531877,0.1385710979665398,0,0.3156979593584915,0.14475707757196024,0.02977574100768972,0,0.5765691905661213,0.8196766384047031
6,0.13552336486787547,0.1822406630230165,0.08315242806677706,0.33805872463363584,0.17079098312620997,0.09023383628248514,0,0.5311775299792459,0.8499397457341316
7,0.12697193030764223,0,0.42210855359934674,0.1973428694253082,0.13748450305293042,0.11609214361477248,0,0.5151181812095045,0.86465276816539
8,0.19899287339257624,0.09350123528162281,0.0837819601593989,0.304119749788324,0.26898610038730275,0.05061808099077531,0,0.5111095734913592,0.858662112490512
9,0.04957115851108673,0.0004,0.28202207809290025,0.29957469923174285,0.25619321528540795,0.11228611151441072,0,0.5357370590123808,0.844253967868433
10,0.20669136370252827,0.09227538174421276,0.16785916253308633,0.18957842420917176,0.26613066251110323,0.07746500529989765,0,0.5376295521483799,0.8440297252160334
11,0.25392834027665423,0.03181186182640756,0.1518300009199619,0.27864293773623994,0.13632037026295604,0.1474664889777804,0,0.5635198530870815,0.8304425568185995
12,0.1620521321510437,0.07505999574347018,0.1408813639280658,0.21855477962168718,0.23524272855522335,0.16820900000050987,0,0.5271569079754783,0.8491874586890144
13,0.21645223753278195,0.050761535448046985,0.29685848324416697,0.20893366145585138,0.1219082013922352,0.10508588092691748,0,0.5218509555221944,0.8606164356144616
14,0.1873592160463799,0,0.2633722501738055,0.24915399402122407,0.26917900885900553,0.030935530899585003,0,0.5240804548883586,0.8523041174698082
15,0.19581385570628096,0.032531902487626,0.3188787197700358,0.1916080286144288,0.13950379699822377,0.12166369642340467,0,0.5151538998255545,0.8625436908135775
16,0.2814484122113971,0.14555663936016588,0.08018464426662113,0.16519296705678355,0.18398167280303876,0.14363566430199343,0,0.5663770493997384,0.827356503328424
17,0.22329808583217728,0.15892182814476613,0.12890773821682844,0.131270586347624,0.31075350860216966,0.046848252856434444,0,0.5380959548587734,0.8425779200656822
18,0.2317452631492249,0.2310229596974268,0.16121540100386964,0.18263016643391214,0.13180993070805602,0.06157627900751049,0,0.5113831222080799,0.8673997644350044
19,0.17562572810844793,0.2224786701010095,0.09771101106901327,0.15503788550955977,0.2898642467910567,0.059282458420912884,0,0.5308237521376115,0.8479911722837454
20,0.21788682386382954,0.05613497309986749,0.13773503311015944,0.22284459656346708,0.2538087893271505,0.11158978403552601,0,0.5296201144669197,0.8478420259562658
21,0.2094879966850754,0.1379936894210551,0.17288795874486806,0.20601243843528558,0.19348302789324257,0.08013488882047327,0,0.4851518868375858,0.8752310652365988
22,0.15380603265164844,0.05689292815042836,0.2478931384181586,0.08626942123022256,0.361775675182972,0.09336280436657012,0,0.5309016418785434,0.8474342621859455
23,0.30406489676919274,0.2130062720373241,0.06192345755045726,0.21290241884509845,0.13562427112135816,0.0724786836765694,0,0.5398751481749352,0.8473436209261384
24,0.24024407759058547,0.12718180072039856,0.20838198471619349,0.18280959543075062,0.1773760341485216,0.06400650739355018,0,0.5235691127380969,0.8576787137526231
25,0.16635857770912466,0,0.261374039594483,0.2806704411529777,0.15225882025876247,0.13933812128465228,0,0.5163341077021985,0.8581910797718888
26,0.13609404841170952,0.09221393920428686,0.29904632823603033,0.13928915603543643,0.21470044384681658,0.11865608426572027,0,0.49808552599988803,0.8681554191389856
27,0.2798397646355053,0.11893311676676094,0.10610053715591439,0.29299080541343353,0.14461606232258628,0.057519713705799586,0,0.5242311994523381,0.8541464128449208
28,0.16584146014652928,0.07686039169755035,0.19189197748346218,0.2134702673832724,0.23462592001576577,0.11730998327341999,0,0.5612830317559777,0.8312707801861033
29,0.18548331214724725,0.03740125792365512,0.2583216549202433,0.2086376994695002,0.1334952569378817,0.17666081860147245,0,0.522776862335058,0.8546079302907831
30,0.25594172447948277,0.054312518766176196,0.18067686383386436,0.16898960218849995,0.21305935455824473,0.12701993617373195,0,0.5637202360914545,0.8290133119005233
31,0.07929632445339381,0,0.2235194125606807,0.3351022448321673,0.2540943019664786,0.10798771618727969,0,0.5189986164754165,0.8539913102440352
32,0.253048314515654,0.029924107128765254,0.17226871072415256,0.21381264863554164,0.19970273687003223,0.13124348212585432,0,0.5235741989715709,0.8520761261016767
33,0.19410381584519673,0.09196610912662895,0.11465858622269422,0.20022953844183397,0.26207086697019655,0.13697108339344954,0,0.5421328278423613,0.8399656849590721
34,0.1733069411498826,0.2096294547745575,0.13090263556690918,0.11144179441366206,0.2578093297259578,0.11690984436903083,0,0.5361196748101096,0.8450714827601403
35,0.15598761439643852,0.16318907367354057,0.052814248044593635,0.2236334304891245,0.23694306960429914,0.16743256379200366,0,0.5574785102538714,0.8304290269396168
36,0.34008238444835204,0,0.1890719030284862,0.192470005645252,0.19190466309130286,0.08647104378660685,0,0.6024513791195982,0.8054600067758197
37,0.18728942862375383,0,0.15358501328672314,0.18865127562924877,0.3008918493446391,0.16958243311563523,0,0.584297557336995,0.8115659991016583
38,0.29714996302309504,0.05601693488928205,0.18490405795301945,0.15096021502005375,0.2487302019762467,0.062238627138303,0,0.5598713783501452,0.8305497665177672
39,0.2755298435190811,0,0.22587030028814617,0.16993848855130494,0.21841929344364994,0.11024207419781784,0,0.5911152118107476,0.8127403900086482
40,0.23229341548903085,0.12022512987847454,0.07337653295193354,0.18332357882357694,0.20845875211644402,0.18232259074054016,0,0.5589400937168811,0.82950550990079
41,0.2855798951388395,0.03746053671896669,0.16853083159244045,0.2717014174631694,0.20095851854738503,0.03576880053919892,0,0.524161514697642,0.8526187969527467
42,0.2046394004558915,0.011917299065072781,0.23922448008217,0.1688212947072487,0.2555737613138538,0.11982376437576316,0,0.5086898719705579,0.8602208715447418
43,0.19002500589870308,0.19131092099424618,0.12103926007859261,0.1520193149934201,0.201223904928519,0.14438159310651896,0,0.5438113405553798,0.8422191956863874
44,0.21585056278621928,0.15058514345128055,0.008113618936717597,0.34850189954291544,0.23800565815433142,0.0389431171285358,0,0.5011243687454748,0.8644641413546174
45,0.08087727735430213,0.3462635710528085,0,0.3104154654431187,0.23543902117581944,0.027004664973951164,0,0.45418462289954326,0.8902150224150621
46,0.20671455665797045,0.25720626378769484,0.03419264502077288,0.16717117076096843,0.129608292246823,0.20510707152577043,0,0.5311543977840787,0.8482579994263992
47,0.23713066366906124,0.3296774182422829,0.02264496949479508,0.2501403817462592,0.1248548455257931,0.03555172132180845,0,0.5088844982239894,0.8663038356578683
48,0.2992734757358076,0,0.32464344252791605,0.06245996728588109,0.22935434117989714,0.08426877327049814,0,0.5446032650065367,0.8401512790626646
49,0.19136203098439844,0,0.26098573757562216,0.27979987806892576,0.19399229191701425,0.07386006145403937,0,0.48679115436849146,0.8737359774022614
50,0.18657997335583865,0.20152403706947897,0.053264671801215274,0.29040985430924315,0.18321075447504317,0.08501070898918067,0,0.5713996855171509,0.8287966019921411
51,0.145893401525605,0.17658102039041237,0.06451861092139044,0.38782744503627814,0.1728568757409053,0.052322646385408705,0,0.5095361453112605,0.8607320978426782
52,0.16392307485465415,0.034854949966354076,0.2540152628068981,0.23086121442529944,0.20530536165530702,0.11104013629148725,0,0.5438927767108693,0.8434658666326375
53,0.22612426515234482,0.18717725228560386,0,0.2637670059394299,0.1577184875795975,0.16521298904302384,0,0.5559476688264473,0.8331717824245682
54,0.2565562496464736,0.06338811684085564,0.2465480342621141,0.2189459916167925,0.12685169304210528,0.08770991459165892,0,0.5625615671143598,0.8392339564249859
55,0.21256725041813743,0,0.29112924738587237,0.18943744035633656,0.2338769122309099,0.07298914960874371,0,0.5474127289799908,0.8410854716128584
56,0.11931097017074124,0.21613974469105218,0.15424836346084592,0.22091261638525259,0.13864720894846866,0.15074109634363936,0,0.5316831692226124,0.8525425140713928
57,0.07332407993361767,0.08728071963008882,0.26260749598227745,0.24462967152682802,0.18586114286775016,0.1462968900594379,0,0.5305238075345982,0.8500357104963642
58,0.21111032857130888,0.14735089203477492,0.13200471263374133,0.22213976453134235,0.15370573199292284,0.13368857023590974,0,0.5118697160734103,0.8610402175692206
59,0.37479976112105373,0.06354238373474203,0.11689361374397027,0.11129307393645152,0.24270591698706193,0.09076525047672047,0,0.5710415026169079,0.820750127264356
60,0.2005454275644541,0.001840634944331439,0.2340128164070865,0.26674929788944635,0.2454674228639745,0.05138440033070718,0,0.5441102335392216,0.8413986549825407
61,0.25545639026099065,0.1511768602820808,0.12056894543956662,0.22016840342388208,0.22333002069974744,0.029299379893732398,0,0.515104008882635,0.8583920491651078
62,0.1887148873568163,0.21294606482784603,0.1246029656995135,0.22465256968803907,0.11852094405936552,0.13056256836841965,0,0.5287327562054084,0.855612077405295
63,0.09323824367180501,0,0.2742113098848467,0.35781991949728903,0.21725652881609644,0.05747399812996288,0,0.5389951914878128,0.8445671772970795
64,0.11706703951263624,0.07928741996460124,0.23938772656198415,0.2439969322834938,0.24451891574867474,0.07574196592860977,0,0.5344784943446111,0.8478423337263731
65,0.08585562525370538,0.2772600921892637,0.18484127031626985,0.22545481645167034,0.12716539449691278,0.0994228012921779,0,0.48073314321434757,0.8811291977055823
66,0.23268978110881752,0.09730653587232217,0.15490001777479784,0.19986230872104352,0.14996365144322144,0.16527770507979764,0,0.5568584487160347,0.8348963111106874
67,0.30460796938475987,0,0.2821969026399373,0.14096165562584415,0.2417231176093754,0.030510354740083397,0,0.5169156730622441,0.8561349302701974
68,0.1283523319261488,0.059377876840118395,0.08805360040732758,0.31300260518157297,0.3560799735712037,0.05513361207362861,0,0.5204227866430852,0.8548416671701988
69,0.2625299806063266,0,0.228303230760143,0.20993427475780538,0.1913736245552478,0.10785888932047721,0,0.5516305759963316,0.8377708065632173
70,0.23901566477742828,0.004513164914227865,0.340401968466098,0.13952963940743246,0.20716521328391596,0.06937434915089742,0,0.5378672859401473,0.8485431259639917
71,0.1246080242410129,0.09940366620130592,0.15605480372891642,0.16052973856209476,0.2235767640453348,0.23582700322133512,0,0.49427310282605674,0.8712467319993535
