"","col_names","B.cells.naive","B.cells.memory","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Neutrophils"
"1","X0","0.0517594632087484","0.0935706302074488","0.160961052862097","0","0.0771762733467332","0.0666002287585262","0.113398881894781","0","0.214168120192568","0.0385624194758784","0.0765959112110273","0","0.00704397265833603","0.0261974443781391","0.033360671407215","0.0406049303985014"
"2","X1","0.000813771772388394","0.0561373191544847","0.157918603389922","0","0.152995733154564","0.028563749282958","0.0598213895191326","0","0.214071067623463","0.105997999354885","0","0.154357522097652","0.0267184003502366","0.000277092672874894","0","0.0423273516274378"
"3","X2","0.0070721862364892","0.0136627439842626","0.20732841345622","0.100171269294754","0.0540088165208535","0.0427416447854927","0.0416809374071525","0","0.13171280498569","0","0.0588636767780634","0.0338134583396443","0.0975143164339882","0","0.129883537615546","0.0815461941618425"
"4","X3","0.0679127296815767","0.127365157832644","0.0877030741481978","0.201467086162622","0.173964406942863","0.0652941420264241","0.0398140429075989","0","0.147304262545233","0","0","0","0.0478095080270803","0.0203937154853043","0.020971874240456","0"
"5","X4","0","0.127357280265096","0.227517055685336","0.0107510591083165","0.0431916798292165","0.073336008147041","0.151813493434452","0","0.184559748422276","0","0.0481058047765961","0.0647301979226257","0","0.0280708043276054","0.0405668680814397","0"
"6","X5","0.138454604220138","0.262017335438806","0.156578758897469","0","0","0","0.0812457723467886","0.0342474703536259","0.195667202766374","0","0","0.131788855976799","0","0","0","0"
"7","X6","0.0333725993564801","0.0145721234897279","0.206004123179038","0.0268745595675636","0.0893154792678837","0","0.173888450397091","0","0.254214618006716","0.00931847680151149","0","0.180255401585496","0","0","0","0.0121841683484928"
"8","X7","0.0917683923079644","0","0.058886047003749","0.135492332857738","0.224147434041942","0.145506163793462","0.115323930318001","0","0.0824900030106089","0","0","0","0.0560412812880493","0","0","0.0903444153784846"
"9","X8","0.0188074586532934","0.0817899678926254","0.0869072539737783","0.0493663358329799","0.0838220145087318","0.00405007145966316","0.117219568512456","0","0.265050639093469","0.00973667369855743","0","0.172176193735189","0.00230404345012333","0.00848987713627973","0.100279902052853","0"
"10","X9","0","0","0.110619863558906","0.0452677903020203","0.206588985965735","0.0343683391955454","0.0651487396420796","0","0.283704215562553","0.085698622133221","0.00251562632065753","0","0.0957036700507101","0","0.00934271470942612","0.0610414325591463"
"11","X10","0.0107227258562022","0.137013231007643","0.142596324912857","0.047257361091408","0.0943062323013711","0.0568198499332992","0.0234167356565634","0","0.226355516324373","0.0546278245457294","0.0902315079897603","0.0155953346617266","0.0655543925868939","0","0","0.035502963132173"
"12","X11","0.0679173472036634","0.138682643409907","0.215957755144912","0","0.0673477605801933","0.0244680282631572","0.0462380097408621","0","0.260309974200833","0","0.0541753317699916","0","0.0156911900829716","0","0","0.109211959603509"
"13","X12","0.0107207515747233","0.0603217652660058","0.0691720037758183","0","0.173462748856982","0.0698196314370099","0.0544528191120443","0","0.100767471848949","0.0424742330761999","0.0716681449583259","0.0750322728079796","0.0590263637198999","0","0.0804252165509903","0.132656577015072"
"14","X13","0.0364100483845904","0.114661594908966","0.159076077481674","0.0998615111961277","0.114500660659762","0.105984680234435","0.14216866764602","0","0.10551937355769","0","0.0362768390725003","0","0.0216540707285595","0","0","0.0638864761296759"
"15","X14","0.0252650014294635","0.111285280006069","0.0727437881115171","0.0771979703008731","0.180860245219329","0.0248106896859642","0.0575675732077932","0","0.242526110198257","0.0161541146904168","0.0742727174230698","0","0.079713514724961","0","0.0376029950022856","0"
"16","X15","0.141349068459817","0.0365314747317833","0.116638121752022","0.0322359231706427","0.185487165273965","0.0273619023074933","0.085154677040254","0","0.0450181247382581","0","0.0805184195185597","0","0.113192418801253","0","0.00510883814062382","0.131403866065328"
"17","X16","0.152308035155646","0.0803045046945803","0.231437856435529","0","0.0815845063229882","0.109417076950937","0.0317880484781711","0","0.0517881356879872","0.059427739001655","0.0455582701204466","0","0.0403619158261696","0","0","0.116023911325889"
"18","X17","0.0314858572202595","0.192011756214116","0.139650588572832","0.079847545514455","0.0721897967013318","0.0247845606605719","0.155208667276767","0","0.0202145879925381","0.0776419807578265","0.0467824136831456","0.111268162497415","0.0489140829087409","0","0","0"
"19","X18","0.0907578308130765","0.0957724536830003","0.263120769424553","0.0336452554251372","0.12037306972127","0.0571010808190796","0.113471027574275","0","0.0435925941823251","0","0.00968074586866842","0.0571087986028555","0.0424004201225472","0","0.0527569132130319","0.0202190405501801"
"20","X19","0","0.0789535387956672","0.274771799191098","0.00699187011311396","0.032010583500735","0.0197711199144076","0","0","0.143726668644028","0.0934927014906246","0","0.21665888153047","0.109539259919083","0","0.0240835769007735","0"
"21","X20","0.140751810835159","0.0119543280182786","0.166622304420087","0","0","0.0439170003691126","0.0525612515819862","0","0.211234874884061","0.00962765426409573","0.0429546023457853","0.132555131745551","0.0858214682440723","0","0.0671570686366881","0.0348425046551238"
"22","X21","0","0.0893278615443108","0.196387538690065","0","0.103075548947937","0.0429536922528265","0.0442782850313543","0","0.0684106065811506","0","0.0904670093864222","0.204763872259999","0.0513653929266064","0","0.108970192379328","0"
"23","X22","0","0.100273336032101","0.0993103100650355","0.0711471401175047","0.169603487315424","0.0399587737747331","0.0346102648668699","0","0","0.13446058441604","0.163371568352915","0.0742947645005651","0.112969770558812","0","0","0"
"24","X23","0.089400217729156","0.15305069296116","0.158557640980727","0.0831767575291328","0.022800398967311","0.0248262804740232","0","0","0.222385814117835","0","0","0.220551110874143","0","0","0.0173226207086073","0.0079284656579038"
"25","X24","0.0606647950192039","0.176393115456146","0.159359428394613","9.8558468244983e-05","0.180748998828717","0.051670822039491","0","0","0.137214395043138","0","0.0212950532824512","0.138205708899202","0.0617124201239104","0.0126367044448817","0","0"
"26","X25","0.0293042926095586","0.091264743224609","0.068299853388438","0","0.168782709196954","0.128356640007979","0.0566827143974871","0","0.1997013463266","0","0.0961430535727268","0.0444563732267344","0","0","0.0112524697730433","0.10575580427587"
"27","X26","0.0212181198037524","0.0370535882727239","0.185754444071562","0","0.208036188334865","0.0374321035012995","0.0379789415441121","0","0.024681929560029","0","0.140240262004956","0.0181546529173937","0.0839561335724476","0","0.098304131275154","0.107189505141704"
"28","X27","0.105645103934528","0.045958804946813","0.24791710503799","0.0158352326766198","0.0433860013216979","0","0.0711581474211053","0","0.213694543846263","0","0","0.151651906647794","0.0447384420440432","0","0.0600147121231453","0"
"29","X28","0","0.140112318169281","0.130306237533319","0","0.1573355398929","0.0750294259131","0.000166556632376719","0","0.230022587983599","0.101845779782517","0.0523481749886056","0","0.0147562703920137","0","0","0.0980771087122878"
"30","X29","0.0858451571391086","0.00405884722245387","0.0478070097359199","0.0271026198915719","0.201710720016227","0.0836858914553872","0.0789325721381101","0","0.195244938972197","0","0","0.117939607651912","0.00926710186449609","0","0","0.148405533912616"
"31","X30","0.134698822693065","0.13553005286604","0.10598668752637","0.0563611650562332","0","0.101107706002439","0","0","0.154681614522752","0.0586926660530394","0.055009151451361","0.00985501692853495","0.0298734385290796","0","0.0660308651982022","0.0921728131728836"
"32","X31","0","0","0.102411643617481","0","0.0989130547957121","0","0.199367851019838","0","0.259025507159998","0.0428075676574449","0.0183420743149669","0.108952112279939","0","0","0.139378339045363","0.0308018501092572"
"33","X32","0.0811002927272491","0.149296185574627","0.107328160398804","0","0.0314444943817109","0","0.138159149511089","0","0.102811663421274","0","0.123072312732161","0.113622032070881","0.0175879133242142","0","0.0874935949404083","0.0480842009175827"
"34","X33","0","0.172479438210832","0.176417422003768","0","0.0664157565305513","0.0900281133906173","0.0722239708352893","0","0.117276781938549","0.0630609272015854","0.0511204049979746","0.0168097290111802","0.0366255084520754","0","0.03762023716296","0.0999217102646172"
"35","X34","0.0691085983570532","0.0537395665786774","0.160108696883884","0","0.181442209593623","0.101880594878907","0","0","0.0872154056599585","0.072388263155787","0.0354146068953422","0.0233149064713263","0.0243514967845503","0.0594938532770602","0.0180504014327358","0.113491400031095"
"36","X35","0.0299570323643121","0.0690120422878809","0.0985590225781921","0.00748318853303719","0.0737260271644408","0","0.160552653304825","0","0.184566027452664","0.0543253751155643","0.0257539620782875","0.00384764703154008","0.026140959292048","0","0.0969722452240554","0.169103817573154"
"37","X36","0.203391489690127","0.246366069081204","0.0799479333010746","0","0.111334541558692","0.0686396933176632","0.0231967410464239","0.0570114664934546","0.0577052837275873","0.0974982807554009","0","0","0","0.0549085010283722","0","0"
