"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99"
"B.cells.naive",-0.000922704698915061,-0.0219829682963911,-0.0470616565568481,-0.00108729180183686,-0.0753969411823731,0.0670660969114981,0.0665601860227338,-0.0568449764138452,-0.123222132515805,-0.0870804965643248,-0.0111206030318248,-0.0151967836012642,0.0721647680994731,0.0105336533269317,-0.0526279259530561,0.00886593373878672,0.0177379997633404,0.0393169220717804,-0.0868723102143821,0.00682558161937501,0.0487957513471718,-0.0832709710737984,-0.067236149560301,-0.018963424532776,0.0696761377418783,-0.116274057861167,-0.0927765521904289,-0.0202369728138254,-0.0582515009923246,-0.0571615894664198,-0.0645933926479243,-0.0533476547280412,-0.155124999006816,0.0177449676368176,-0.146809739731966,0.0671705855565619,0.00787675279066094,-0.0267352361822464,-0.066919733600686,0.0239335582553355,-0.0130634497139749,0.0179078652232241,-0.150995866850436,-0.0254599465210222,0.0105375578408387,-0.0943929666561786,-0.0397896212323901,-0.0937152231955527,-0.00229546962802686,-0.0899436186079981,-0.0658656942622331,-0.0217699290560707,-0.00836775307052873,-0.0610502191466466,0.0192556829086563,-0.018956025934454,0.0229356008391671,-0.0163419011299706,-0.0602494006688657,0.0388449963509353,-0.0237668338198236,-0.0612069003999951,0.00995419855301517,-0.0427321130395861,-0.12418391499246,-0.0543366976647446,0.0498622497624703,0.05575713851321,-0.0228446128496684,0.085635111469435,0.0886113647365584,-0.0747379392916814,-0.057711366559664,-0.0330787327766715,-0.0738397815678979,0.0332701433870963,0.0777687320608552,-0.116055463597954,0.0214930576050009,0.0484920440836599,-0.0226430205076377,-0.082911899566911,0.0440111139538964,0.0376286414668461,-0.0449509472297339,0.0169438883623029,0.0463333226027411,-0.0441623507295307,-0.0505439601990002,-0.0549788548971415,-0.147109326719398,-0.122269194170088,-0.00979742970379767,-0.0739491611741389,0.0363867761732284,0.00720636948479789,-0.0848640534818599,-0.104276633190646,-0.00949747097989441,-0.00626895673491301
"B.cells.memory",0.14350029541405,-0.00585764721998476,0.126668124321441,0.0772574475372426,0.113982672487643,0.160320131800623,-0.0847479890127689,-0.0236465924652031,-0.0360248412400415,-0.10428629185349,0.0980823264880978,0.0126867935356421,-0.0864108409374043,0.0439584493825414,0.0366300000048435,0.0868106835732961,0.137911001220916,-0.026765953575349,0.106847643947407,0.0358676190467676,0.0918279387622629,-0.101310445943985,0.030812161192453,0.199188132781181,0.0520104572331486,-0.0503696353083899,-4.49340449069682e-05,-0.0283386095873439,0.0695734567909178,0.0865984899851944,0.128753441710978,0.0706861721093761,0.0380628737053088,0.035072011438052,0.0449497732165397,-0.0326201034195105,0.164306116206844,0.137875458517581,0.14471867990081,0.0603167944252095,0.0676497102724912,0.207646593310865,-0.0598234882807836,0.134594321565181,0.135854669661858,0.0270590229662697,-0.0653835740549121,0.166401122336339,-0.0307750904127501,-0.0236903563950051,0.0106396785866756,0.0295591437728093,-0.0772441168499494,0.10724289052961,0.152085331827198,0.121092241704992,0.129076048332088,0.0527741992925732,-0.028542237399075,0.10502281219583,0.0295025636385785,0.136859155648789,0.0894685749446087,-0.0309328430126042,0.0263173093681579,-0.149596163029268,0.0233164102485632,0.139547156865382,-0.0423696374871178,0.0325163251669583,0.134202293695748,0.0317830389456829,0.192168242812923,0.0284649093969209,0.0873852631657186,0.255930383331827,-0.0235599963278523,0.164381658285811,0.109153070874023,0.0474924963035703,0.0228032166043533,0.134990723769223,-0.0194086541624998,0.100097835520685,-0.0772724701399055,0.190861562228723,0.243483886951091,0.110445079013992,0.0669497972503312,0.182770441884564,0.0898174924025085,0.169185440586093,0.109313097467015,0.137683840246044,0.176492906655085,0.129312925822625,0.0564103040440908,0.0642094701250313,-0.124987504748391,0.229348180857353
"T.cells.CD8",0.0545773296190225,0.0924957053282581,-0.00840842210454459,-0.0724539721573193,0.0666098150162653,-0.0173044632044258,0.13406581904468,-0.115722892579909,0.0576370835146103,0.00293948695924578,0.0244068103668785,0.174318827438062,0.137282884217738,0.135137084931862,0.0168491287593675,0.118784673666948,0.0425406546886438,-0.049696422843761,-0.0677402979819436,-0.107060630847342,0.00685966815880744,0.0325926200960502,-5.93421854731158e-05,0.101173289785357,-0.0514728775713223,0.0480894532898858,-0.0603661364779624,0.104877377295994,-0.0369410517895847,0.0131987243313136,-0.133962149939369,-0.0236497106472257,0.00477513420580835,0.0651328984657088,0.128441145692657,0.0235977154638251,-0.127760427732281,0.0930548540627968,0.0295592337828948,0.0229281179253646,-0.0423480786478357,-0.0230002236684402,-0.125787826087576,0.0292993594579349,-0.18406366485719,0.107106443524346,-0.00218165382746614,0.140869999688075,0.0330594148476562,-0.171826391397353,-0.082097583716037,-0.103474073269494,0.0736044102462004,0.0902675079246746,0.0951911517623813,-0.0510682594977545,0.0407249516256092,0.135506631915993,0.0283381426655502,0.0366674336876505,-0.0660309039277011,0.135160692394517,-0.0741481172670015,0.0249622217182966,0.0949831472577302,0.0709570862283298,-0.00921472853652273,-0.0412394499684346,0.0754702476570379,0.0157789024200723,-0.0395699918274996,0.173140252412391,0.0614144882094282,0.0497050071084335,-0.033391534639723,0.0553736940317706,0.021333850715598,0.0847276808086676,0.107769996628429,0.169168582700187,0.0189767349954752,0.0535853794380286,-0.0625783399298109,-0.0924940443382175,-0.059147771933794,-0.0803558442748153,0.0413738393115798,0.121961778644174,0.0814622344248358,-0.0526607283958134,0.0538706103758964,-0.0226422737117394,0.0157800181349085,0.016787693720597,0.101106862831154,0.0456976263091231,-0.0998590560913383,0.0760671408034706,0.0599099622955519,0.0415416973176033
"T.cells.CD4.naive",0.809778027928913,0.811878489805439,0.813533401992658,0.814478285884604,0.813626186820584,0.813628614170242,0.815618757490737,0.815326917313249,0.813461278992559,0.813582510859828,0.814722821738303,0.813454620748755,0.810848047437624,0.815529059653868,0.813539045952887,0.812907001180075,0.812415182782932,0.814165605811392,0.81589797420063,0.813084335084389,0.809788968842093,0.810625772812932,0.812980948975908,0.813160937402665,0.812946781293109,0.809073153676606,0.812939410428613,0.812781524380846,0.812533508460596,0.814112524561556,0.81330662381612,0.809277035968857,0.811730256875984,0.810465415163518,0.809699305449965,0.812400335318073,0.812363187604779,0.811676253691868,0.814084600291993,0.812669799918131,0.812744312874599,0.812666860658727,0.811888721047265,0.811395463277222,0.808578105941522,0.810189711965234,0.812227854164891,0.815134842415402,0.812978047548393,0.813363342581964,0.814039336118675,0.812272368378666,0.813583270788205,0.811076881588029,0.81405600504092,0.812692201663557,0.81593633514281,0.815348939783617,0.812824036014853,0.810411897402649,0.812784934752353,0.812023144325625,0.814981653224214,0.812750908005128,0.812432172372632,0.815120716348897,0.812577542836151,0.813824423183237,0.809218956917832,0.813589781377819,0.813996220597077,0.810562175777138,0.810782524371062,0.813872420323614,0.81312559431466,0.813151376997638,0.8124247428227,0.815242361395711,0.812420929770423,0.813938974662071,0.812944254857089,0.815648621651447,0.812439073424793,0.813008058075376,0.810969721604525,0.814321417456965,0.81399721590295,0.814367997201981,0.814053530074066,0.812007283400738,0.810572639507082,0.810010935006399,0.813552457014732,0.81587520592713,0.812333088420372,0.814897335153159,0.810133384643209,0.812736480885318,0.811660127079042,0.815029165839679
"T.cells.CD4.memory.resting",0.221108237832004,0.254870985095476,0.231045602110772,0.285672594282879,0.273484342536579,0.111867625844037,0.164531311888051,0.29061952230732,0.163881483882543,0.283261450066504,0.223674992266371,0.21045186070191,0.212163368209326,0.194067872899318,0.195711117675207,0.228159519615558,0.230812894850164,0.176616459035059,0.206069870921494,0.166992908739463,0.168078808646369,0.19148038758314,0.181730820986139,0.17910516905037,0.236025982567411,0.203831356502703,0.206048491714785,0.279942695808623,0.218637622778147,0.213184503559981,0.109602447318203,0.188762989374356,0.19927364065806,0.228081167852458,0.33710029053933,0.145649411891462,0.210526584047001,0.133823457458824,0.192119278931177,0.222817564096802,0.149462317838434,0.18571545416971,0.182383313808901,0.203413454957125,0.216036342054597,0.117733384880362,0.17423222610492,0.2277367463695,0.199244006611861,0.223427647133066,0.22451609120171,0.28033257656639,0.257174194429246,0.131056196493775,0.183474770313718,0.318299471443173,0.174914473803432,0.210206503206186,0.167807280867887,0.186530326107074,0.238168325231459,0.226539960996466,0.263990750120262,0.123214172602695,0.259402439747577,0.264566744232601,0.201807876615704,0.183405747118373,0.160367713089527,0.173135318140867,0.19825345624647,0.115403489844737,0.259283548573429,0.241256021676308,0.243934845620744,0.251497862483967,0.161608277915165,0.173729998261513,0.24332519284157,0.222910277874341,0.157987548930207,0.214478170515989,0.132457771181437,0.141362576592186,0.197349460002932,0.189932903549607,0.205917588473316,0.270515991450236,0.226819905454145,0.156748082247789,0.197006831234436,0.182185506908697,0.219161876954415,0.335271115405788,0.187583756135601,0.32516653023538,0.137501739142863,0.173088551620322,0.135326566124393,0.258028068544604
"T.cells.CD4.memory.activated",0.403641279404588,0.325229343936764,0.339290412392797,0.374724449182893,0.392617311322641,0.396066600493862,0.329661628430317,0.469329729190335,0.401246033411953,0.323703363611216,0.434856122143588,0.432115333350833,0.406820763481938,0.466357648841521,0.410639351652152,0.293026329938072,0.473377710215867,0.407018527552549,0.422757467282383,0.455285343842843,0.426090481577331,0.382280080038151,0.363191952415471,0.370552762158131,0.436360346054693,0.429914966866844,0.407123637981915,0.36212003194568,0.420037543529038,0.39969414837586,0.483106843793751,0.352767625888649,0.384829241384005,0.433197391032047,0.432251343102723,0.252789068170654,0.405252903958327,0.410336791162665,0.44719757826616,0.479539766426827,0.351384212370185,0.45033272237306,0.440282347059216,0.330024560145751,0.374573601852944,0.422754882681002,0.482015185508808,0.456260159751182,0.487457523520075,0.359812858617827,0.376437575682785,0.464895103848028,0.437651130372336,0.375408882205362,0.369856584795515,0.30564235392009,0.450340325717817,0.37948616064008,0.43905042217922,0.382589133702322,0.317025153548225,0.481335046359649,0.430308743231604,0.461410560017963,0.383466574385716,0.453282924230946,0.356423719997864,0.351821734725985,0.327558421298025,0.455125012198399,0.320624791816741,0.395653012580273,0.39445361586029,0.420133576501069,0.388245610945578,0.473555262537915,0.387124003672865,0.413006410545209,0.428167950336249,0.361415453968386,0.397420253537088,0.404782536030224,0.38491553696872,0.355124394030587,0.26957213893609,0.432515762426689,0.372641858140141,0.343253281030778,0.444994361036285,0.383208912968001,0.436369480334962,0.375678828893152,0.402104984950619,0.386293565778565,0.380339303929884,0.443812300463252,0.386529987615554,0.38422870095635,0.373006121618578,0.42834663444271
"T.cells.gamma.delta",0.0323790316272141,0.113241693051343,0.142788811944922,0.0481289546705579,0.0927431787210258,0.111370651902387,0.0939930353522908,0.103185305302411,0.0923834401971561,0.0667186041658094,0.02158328476981,0.0250848155092289,0.0996683626111622,0.100981041247176,0.131460699660197,0.099299140866835,0.139315355886158,0.0701054154227247,0.125171280453027,0.0766421814994162,0.0192094698604094,0.0493630558197984,0.0934338736693809,-0.0573468655088412,0.0134872543952845,-0.11208910847099,0.113503297781874,0.053841452158853,0.0156919671571222,0.135184895318411,0.0507212575068273,0.0182192707358158,0.0878938116967876,0.0982597280182114,0.204034415972958,0.055584079461405,0.065838947916886,0.00195460040978214,0.0621554715054767,-0.003999750793718,0.0955979857615944,0.0668717690578861,-0.00342953609750272,0.132634843439388,-0.0873273010829973,-0.0557972504857307,0.0663765782603377,0.0553642086942454,0.0296758175423892,0.0640088486652439,0.0429158882256617,0.0848959600359603,0.190414411990529,0.134756451450478,0.144869782280104,0.0827574811525549,0.189347147633314,0.16065099449129,0.105384203541032,0.122069644940209,0.0995496443175645,0.106812911002083,0.139207402154034,0.0735916537212148,0.056862836953143,0.074902455079039,0.108436690729077,0.127590780468727,0.00227186805677018,0.0951174323280678,0.0875339074690042,0.0386502642779351,0.0805485279157537,0.142984796078712,0.0965915940405553,0.0894227312391631,0.109000657176213,0.0670609440188387,0.0316506567005805,0.134881540596654,0.135027929253885,0.070720092001088,-0.00629666510110738,0.0668456492010938,0.123853235849112,0.127688714931662,0.143331241717763,0.185542463056112,0.0304441559355865,0.163791127920523,0.139653202419257,0.0433311754153523,0.0153299371531873,0.0318217945113771,0.0897532191717615,0.0991359999737532,0.0409491477097179,0.0673705203837396,0.0296277451038641,0.0542104609583201
"NK.cells.resting",0.236848981245474,0.220547668572857,0.270302628311519,0.204090068799293,0.164726204192569,0.195074102339279,0.287195085510043,0.165275926864536,0.132140132873812,0.238883174624091,0.212106417813129,0.306578621904022,0.178296312223714,0.250019266669149,0.228259675936346,0.284989473298991,0.272218932358724,0.155947503679359,0.217359107951451,0.148958421518474,0.207191879453259,0.227584585370978,0.117460009976041,0.173905340456316,0.143690328383605,0.187233973507536,0.179680197366551,0.270994683208184,0.212868244900468,0.190378688969849,0.211290644119214,0.278967428517821,0.156956742687298,0.150779571213967,0.176302159967148,0.262506997227132,0.145758866813549,0.213732189459101,0.258252726478786,0.165320367344081,0.232537674321149,0.199339610627093,0.17890469239208,0.146205164343077,0.251772078721494,0.255668575471696,0.183615479780876,0.296664410867853,0.216254608383161,0.212322988469618,0.322113262624695,0.272483347176238,0.157911101339113,0.196048985398102,0.22306591823363,0.298907610663863,0.223635747824886,0.230998679539282,0.177744550697695,0.221051069848956,0.272448739987732,0.174988883878986,0.232165387498772,0.265265611873861,0.217146023428511,0.178950338244476,0.208120743119079,0.117890544634395,0.312263804017724,0.158476199606185,0.0536723710990642,0.100623984010753,0.286146605867594,0.303549691960105,0.234898457883578,0.220860127313519,0.266995750791675,0.184155270284543,0.144188463208291,0.2210418460916,0.182060839871919,0.277836721224829,0.212684915243952,0.184590153538868,0.207012925677148,0.240743922149295,0.303996089137487,0.225159689629471,0.207515490805107,0.160952446517823,0.25799017052279,0.256239301210966,0.272270361049652,0.130876232593841,0.188358254873078,0.196206100195684,0.175106258855188,0.220107406208302,0.242707351171267,0.309255493662745
"NK.cells.activated",0.247177822484333,0.270551068303236,0.299112850878819,0.230951499072098,0.145503956479738,0.18261216734649,0.257994875695512,0.175775005113794,0.115864226191195,0.223330774052226,0.223338729570515,0.295028661917514,0.205712411360996,0.295609675441153,0.184480633551711,0.0984796638822929,0.197977813419966,0.2611850674462,0.245563100408012,0.275835368793173,0.25064856897858,0.2176548980265,0.0490700057219759,0.188951818115676,0.111773734759173,0.327150338844239,0.0383412244784994,0.133867387659401,0.342202261309589,0.259862298944364,0.239285703141367,0.0988892734299414,0.247269428077552,0.101832068067823,0.180641184217133,0.208317784486395,0.302448945527665,0.243523544848141,0.0877848759922221,0.280314726292097,0.188157697468505,0.0945564522390873,0.19705038670811,0.213804381163937,0.191204087641865,0.119071320535765,0.140720936087472,0.260307238155019,0.208132475461313,0.125165620893648,0.196912634003569,0.227200905383486,0.205070721651739,0.256713082463813,0.231360473994491,0.0639859513931064,0.255489461428719,0.245657559953246,0.190542848841811,0.22010606693344,0.215269330339228,0.180538341521969,0.155380889802777,0.141677204216903,0.372826673730735,0.142697281401641,0.171675526021855,0.149103054667169,0.196588782251041,0.118274558827041,0.326737492276446,0.138683336863946,0.136072117427809,0.21602042544322,0.231725476260917,0.128650502791642,0.269355711764678,0.251123313460062,0.0533967991943907,0.229215742400556,0.204653015872241,0.260095196086523,0.321663230568078,0.211488342930618,0.253252027559393,0.133343784033262,0.33407001487803,0.224885497423013,0.288077479934172,0.116680553435108,0.29210938489221,0.275014132888458,0.322360372421722,0.197866689121875,0.150725153697789,0.125325609220193,0.250659224985047,0.14242471019917,0.276617690010328,0.397925112326021
"Monocytes",0.355130601791654,0.296928076756505,0.18624101415819,0.101440687916082,0.177053099028252,0.183766334542207,0.0922435198338818,0.312764919030953,0.155383306066434,0.158899204546785,0.282562277262112,0.166944251754245,0.281508892962414,0.087868613284922,0.234140116345396,0.108379814550854,0.0347517564378541,0.247684615970512,0.219541274958979,0.280125419680091,0.265275557698096,0.319278758051656,0.289051871671149,0.147666823544242,0.223268432351472,0.185437619167175,0.239408223765103,0.167912008663429,0.323772385672669,0.238211859222468,0.239657124772879,0.212838136790046,0.207727102186437,0.29543329028463,0.217648822430623,0.274628301306125,0.158396791800711,0.266041638317794,0.301821324534628,0.165489801977183,0.30048395859091,0.128066163870457,0.0814637718462391,0.282203780772142,0.186432153462217,0.157334115667744,0.10736618915445,0.0299928887167385,0.24201411663787,0.175384127007227,0.22496849961481,0.0972160387761131,0.312181373959855,0.0905815600913754,0.20677685348954,0.237316940697413,0.215446244985901,0.271545062173545,0.184270304676793,0.234309761782044,0.295719711980283,0.137880300832208,0.116210046819104,0.235767462783979,0.246647687267094,0.091148973620278,0.239369560721349,0.326686803972876,0.25501727430889,0.276663055279659,0.179664248427823,0.129301681138893,0.261377971795246,0.249097615902282,0.239688119203109,0.164483372582932,0.309666865473779,0.151198340421779,0.268189238733292,0.222717971857889,0.267599335677376,0.155001953956522,0.252282523268497,0.160644392024409,0.158338284690661,0.270306359899473,0.161110939510513,0.130324140970491,0.122510636019485,0.297013299035878,0.377483555989578,0.259983198993166,0.125194602657711,0.143423401825753,0.172266421078727,0.219452350182519,0.207613331294056,0.159079246223685,0.218342491540947,0.175684307746961
