Mixture,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils,P-value,Correlation,RMSE
0,0.0407695978355781,0.11124341293083,0.0866290634349871,0.0326888584096412,0.0976104007053069,0.0749241062540338,0.0396374773557312,0.0510261927137459,0.112225587741343,0.0597123637665777,0.0764701579687931,0.0177624286038276,0.0491052282976676,0.047590566490767,0.0573773643464511,0.0452271931447189,0,0.936583220208147,0.594843307698652
1,0.0708526270124158,0.0423653025878293,0.0486057580752658,0.0878657800209883,0.134373898114982,0.0490499802245961,0.0564518357859389,0,0.140103061362208,0.0881756149007107,0.0248904381427533,0.0739181709800061,0.0384684353371367,0.0842205225362479,0.00462590459141634,0.0560326703275051,0,0.944093531148555,0.580277646192948
2,0.0384417078102729,0.0404865925502566,0.0665657401766043,0.192352298542711,0.000527392947351568,0.117326172647089,0.0350870123802967,0.0490744364457886,0.044653240085815,0.0178629193304922,0.0455453435195879,0.0507126429912312,0.105986108930459,0.0555171740994127,0.0687492760979575,0.0711119414446739,0,0.95175396534991,0.611689763590849
3,0.067247560713945,0.0714303601252482,0.0370648047832191,0.158301989886096,0.110047828974729,0.129176031629252,0.0315386284422348,0.0282242685852599,0.062707572262177,0.0537121427084901,0.0381370722452531,0.0156046483353989,0.0710389230752033,0.0704429313285296,0.0553252369049642,0,0,0.944391292735107,0.610968168813782
4,0.0126938482455693,0.124433790443229,0.108364059450754,0.136539105118455,0.00842540530400122,0.112281751234744,0.0846328684804919,0.0240957598362397,0.0894055032604696,0.0241364777627646,0.0606125287926619,0.0566564006463109,0.0273838669317878,0.0861201557087184,0.0254768437495028,0.0187416350342994,0,0.942176478407153,0.585372518134246
5,0.13463130263432,0.120921618275938,0.0235333976658857,0.135562417240064,0.045301803797187,0.0222058180793583,0.0467340263582087,0.100639240197706,0.0872949925571755,0.0595140170873777,0.0987370467426356,0.0825913678649912,0,0,0.0423329514991514,0,0,0.953291018142638,0.544667486902383
6,0.0662949372295318,0.0503339653876255,0.0729788414599692,0.101370006715658,0.105013621434139,0.0182364079205722,0.0789336890114297,0.0501282459347359,0.125691681952584,0.0592813846052008,0.0238323503346231,0.0833770016208541,0.0447945477674551,0.0349662781680433,0.0420869393694686,0.0426801010881096,0,0.959235467812909,0.537351248339759
7,0.0737954936731213,0.0383328154883549,0.0113271221464786,0.152385168943939,0.132273051914367,0.141637461647663,0.0743769720447129,0.0202470163897177,0.0742327052986513,0.0328248980778679,0.0599083377541929,0.00161131468907366,0.0699948692964446,0.0255453913733896,0.0217604665041151,0.06974691475791,0,0.943869752954963,0.591860464509239
8,0.0241260726435058,0.110066254800019,0.0251033832779763,0.141088043229848,0.0697807859667017,0.065381329743947,0.0789252237146674,0,0.128382194488829,0.0467491489686292,0.0579686382912313,0.0789146284552131,0.00781189491136733,0.0676161802592819,0.0710146583939582,0.0270715628548248,0,0.950093388988232,0.574737910063892
9,0.050645537342614,0,0.0584408275757068,0.116583272785468,0.134878751011375,0.0550912333424694,0.0473197141973248,0,0.150610627337672,0.095649588952208,0.0476582527069946,0.0247698978903291,0.080690981102446,0.0418284716141538,0.0505443780449628,0.0452884660962753,0,0.948156687344435,0.574120873807481
10,0.0279015204694217,0.117702238079085,0.054353003270397,0.116388258081941,0.0989400441597341,0.0503443621781786,0.0278563779664449,0.00880613129617925,0.120311780056508,0.0720127169588873,0.0820770662889222,0.034593163680138,0.0807978423070162,0.00632750290481102,0.0569475402733575,0.0446404520289778,0,0.953652784227229,0.590241344232637
11,0.051734140347563,0.121350977953366,0.101128692893676,0.0733412967504809,0.0378774383307986,0.0987920958004437,0.0473058300047818,0.0773992116418609,0.0945310167244729,0.0261507510411151,0.099382510876399,0.0120164985316861,0.0441313139894652,0.00532214138680393,0.013130954305436,0.0964051294216515,0,0.946420013374364,0.565150431633015
12,0.038114689970521,0.0710384051048709,0.0309446349502295,0.0738775400066252,0.117233265380768,0.118232075080482,0.041952316290581,0,0.0885633043680622,0.0576377544563273,0.0693740793537658,0.0538117079302444,0.0774574430745119,0,0.0736919897115153,0.0880707943214952,0,0.94687328726407,0.6070775310855
13,0.106925924214945,0.0355822838413029,0.0456452780654866,0.174911032787836,0.0738723384463838,0.104158850904948,0.0814552664812941,0.0148161311925256,0.0815471883986628,0.000751695491486718,0.0813701683414332,0,0.0700460918782134,0.0182111584186762,0.038154883214791,0.0725517083220143,0,0.954123597085892,0.574933261991296
14,0.0309225916441885,0.116135897367704,0,0.167710629682901,0.102063036586014,0.0424986399394968,0.0625035124501843,0.00392416162536388,0.135319581470839,0.0615153288420226,0.0928001237465436,0.0249830913663011,0.0727041441357039,0.0265273487259182,0.0524054242669225,0.00798648814989623,0,0.947840482529069,0.58571148956899
15,0.0705291069102987,0.0687440145863821,0.0654591587429091,0.0813858790429382,0.132285899732042,0.0822327989620646,0.020075830756817,0.0808700576005946,0.0134705653215746,0,0.0804626233604609,0.0162815286113997,0.101824662604277,0.0225145136461783,0.0553517395740726,0.108511620547991,0,0.940523620471945,0.614888918431403
16,0.0786160661794164,0.0858650186500639,0.0722897811236981,0.0618872624458067,0.141197007833691,0.100915683726602,0.0372947195137187,0.0204848497602305,0.0543696537290586,0.0623489983931754,0.0735020979886169,0.0440332801494082,0.0363467045495788,0.0332641361523876,0.0168162558387608,0.080768483965786,0,0.953054954733297,0.599858625791501
17,0.0607328705147128,0.109337145576115,0.0386896924087964,0.131197652905886,0.0321132472671638,0.0895684070706175,0.11506263668161,0,0.0566494498752243,0.105565370861774,0.0858016605206778,0.079676898243296,0.0493040932818949,0.039605241694121,0,0.00669563309811058,0,0.944137521461064,0.607091731063401
18,0.0744610011803156,0.0904748724782573,0.0906617265574548,0.0722890513630775,0.128668296946417,0.0746043403434673,0.0730010609208027,0.0296334882358397,0.0550957947852324,0.0348591308152458,0.0358730127744043,0.0586860704627809,0.0574609719077644,0.0222308742654566,0.0487887105926395,0.0532115963708444,0,0.951472322897079,0.582800574434665
19,0.0770453834866083,0.011507129058442,0.101060704642032,0.0617885015958326,0.0649557045847746,0.0876539587681941,0.0729772743091646,0,0.0954971060270193,0.0827708422387333,0.0627979693655448,0.0805061473449078,0.0856320211784601,0.0538667636265494,0.0347408988730648,0.027199594900672,0,0.939367491597932,0.602938851362424
20,0.106270503246192,0.0306288144998303,0.0665987558270916,0.0533365996673187,0.0599515452666834,0.105927747915243,0.025565059673184,0.0396310374188247,0.0813444404091891,0.0635675820340371,0.0583370159807408,0.0677436371288949,0.0632350446139641,0.0533079531671032,0.0689609945157021,0.0555932686360014,0,0.946840318402486,0.609263659473602
21,0.0382289347718319,0.095701188096672,0.0728550090764866,0.0851289554813583,0.05961327830204,0.0952182156260495,0.0543078484607659,0.0361793195916359,0.0631352357271949,0.0173055808181575,0.0993730190285698,0.0835962474732138,0.0776800632483903,0,0.0828602536462283,0.0388168506514052,0,0.938177785186919,0.600757770205514
22,0.0554684998803154,0.0818354525924331,0.064415791313116,0.108673613799746,0.0990376201710148,0.0901251931943942,0.00751029173488143,0,0.057046906754174,0.105101411048763,0.0999255068119659,0.0459542428135084,0.0838986486657161,0.00614190498951275,0.0520299589365876,0.0428349572938716,0,0.930159228349328,0.633381816491288
23,0.0630007904477635,0.122571768892251,0.12624355032545,0.0904716134833493,0.0346723486585522,0.102345831669921,0.00617250583734955,0.00325876691446047,0.117694797707187,0.0263391603806502,0.0354924585188107,0.0979557045794238,0.056763970262873,0.0301809239525058,0.0357299277726015,0.051105880596851,0,0.950336755075802,0.573078947820705
24,0.105198292435258,0.0746621110937093,0.0295965561795838,0.0926186621515454,0.135777134417907,0.0984580478727379,0.0210160419516248,0.0363602991493762,0.0620048830691865,0.0236310725845732,0.0898847085653803,0.0743460988291637,0.0544189638943175,0.0542927949121329,0.0156857257875448,0.0320486071059581,0,0.943394160477108,0.608296628212868
25,0.029004551686349,0.0870409402175736,0.0305086964637671,0.0859740529897451,0.147072802111339,0.0986322625996019,0.0270471290250521,0.0451237906577423,0.0954029186578969,0.0238238779494759,0.0849520627722135,0.0535898095725072,0.017379085494861,0.0585881218487945,0.0382420831268957,0.0776178148261851,0,0.930888482503031,0.605144313699213
