Input Sample,B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils,P-value,Pearson Correlation,RMSE
0,0.18994803322603257,0.09607929233481512,0.1465615381534255,0.25466188986954746,0.23140949218307835,0.08133975423310091,0,0.5235170306384865,0.8529403934039316
1,0.12749203714032886,0.09354160084984044,0.23500467443122705,0.21980204083574936,0.23183735431621216,0.0923222924266421,0,0.5136078120142104,0.859415985763005
2,0.13040583513370652,0.1452746057844473,0.1663227831532344,0.1928762394884601,0.18944513049228404,0.1756754059478676,0,0.4430566972030656,0.8961709493483587
3,0.22666933215661886,0.09927014228696965,0.304240218229253,0.1706232161450653,0.16265123334319576,0.036545857838897376,0,0.4803571917437366,0.8808276078270689
4,0.16185016807583205,0.3532013779616239,0.020681466914372875,0.2664902448113844,0.18629789276395478,0.011478849472832127,0,0.46516262041633116,0.8859582286547798
5,0.38317874242580163,0.07755807086200377,0.07521837029887808,0.29996854877972373,0.1273123239487467,0.036763943684846055,0,0.5680707445831893,0.8255392603198662
6,0.12864296319019167,0.24928712630600863,0.09849026304594548,0.300615452246898,0.1746251969959035,0.048338998215052664,0,0.4940505656330193,0.8715555325955875
7,0.10539006053564187,0,0.4264224351871134,0.1870730772521067,0.18136209123433425,0.09975233579080368,0,0.5091967623424235,0.8657172243051647
8,0.17401013221053335,0,0.30490309426234236,0.2936872328023498,0.19327648454517637,0.034123056179598064,0,0.476779450150098,0.8795474257428288
9,0.06247256896547177,0.15308572609202367,0.16475270000881137,0.25192821936183396,0.2780362313230939,0.08972455424876538,0,0.5051454349468051,0.8622132802298221
10,0.14924259717594765,0.30265720965749904,0.06739454842067891,0.1382276485198703,0.24092587160688164,0.10155212461912252,0,0.5248869864836465,0.8532412167792348
11,0.22591288935056733,0.14438004420097122,0.003915339896685379,0.32035080101539737,0.1455627851653375,0.15987814037104117,0,0.5499977082049179,0.8361262815110585
12,0.13317572131632197,0.37843267971689687,0,0.13584388273219963,0.17674913040074497,0.17579858583383656,0,0.5142206281486759,0.8584956613691263
13,0.17929789359422757,0,0.3605546529110287,0.23450459361803572,0.10851055492815777,0.1171323049485502,0,0.46930200990551585,0.8850769134330633
14,0.21328001528303125,0,0.2952233464764303,0.22602437568313216,0.24064867873991075,0.024823583817495467,0,0.5092567827899013,0.8617963925097538
15,0.19076212546440802,0,0.297464269365112,0.2421135960629266,0.1416489875984483,0.12801102150910515,0,0.47819760238387915,0.8788153840143281
16,0.22120872930945387,0.22566152156512795,0.11510029185026772,0.12786716979860296,0.1834234859076321,0.12673880156891537,0,0.5283228755122753,0.852568129556513
17,0.2551007481727109,0,0.2719258371278261,0.1304752573473236,0.32315671897801557,0.01934143837412381,0,0.526019659038521,0.8496008610308663
18,0.23397716904640967,0.0831299576123484,0.22169996646828502,0.2610676064178433,0.15951043585158045,0.040614864603533106,0,0.4771968842977757,0.8799971506011387
19,0.18585939420428296,0.17166903844460377,0.10221651435018028,0.15225840903196244,0.32677076288705864,0.06122588108191192,0,0.4984395429679784,0.8663783399838199
20,0.2379799194004953,0,0.13506321046804176,0.2886270081513276,0.23617443003454716,0.10215543194558824,0,0.504338786136176,0.862723273748443
21,0.20662563133682735,0.26965286297068036,0.0010228958573385131,0.17946681391303715,0.23555862846475284,0.10767316745736366,0,0.42859654266206354,0.9038267850115884
22,0.20587512120548118,0,0.22524264011161088,0.13876096331568402,0.33765872257138907,0.09246255279583489,0,0.5271346410618238,0.8496549447835785
23,0.26724117796661484,0.2584978264368365,0.03183430881156707,0.20074662213202937,0.17222950177602767,0.06945056287692461,0,0.5018612572524203,0.8666341904601567
24,0.3373495313960244,0.09534337647974307,0.07017889842212612,0.24804457480242506,0.19453097996779206,0.05455263893188936,0,0.5092399130441587,0.8599261828842384
25,0.17258931088012813,0.028770461318106552,0.25488356267255957,0.25589035804226695,0.16093769288837284,0.12692861419856588,0,0.5074531460890118,0.8635111578901284
26,0.13356062714667316,0.03215908464722455,0.2594969779928704,0.188206456614396,0.24190945185857923,0.14466740174025672,0,0.48962911389767866,0.8710861688025486
27,0.2560178743953452,0.05116541494763854,0.18590167942909414,0.3163487185873432,0.1376975436849406,0.0528687689556383,0,0.5112700118109128,0.8615571336765332
28,0.1795104464566104,0.14443601117504998,0.17693450081637918,0.17783558907947336,0.19568330097811112,0.12560015149437595,0,0.5461211030475608,0.8428446565475355
29,0.20532033415667456,0.011511381804670737,0.23348007485795885,0.24943072568082045,0.1272392604952766,0.17301822300459885,0,0.4803608567580697,0.8764032804577073
30,0.24723962012652242,0.06960812705050821,0.1617913702210492,0.18643876963988343,0.18763201128564708,0.14729010167638965,0,0.5228505510650688,0.8527114036366973
31,0.1342709622279415,0.1176203263314145,0.053828353544206745,0.36577307082853966,0.23869112763877778,0.08981615942911984,0,0.5136834755033352,0.8571236795590141
32,0.28616095527763447,0.07577722917026249,0.1292476605179832,0.2132755328261184,0.2055421973798064,0.08999642482819512,0,0.5237369046608065,0.8522581503828971
33,0.20472693351423976,0.23122094336097407,0.04967085241623969,0.1770160649271582,0.20666510557596746,0.13070010020542078,0,0.524627188737545,0.8524186054176329
34,0.19027499425526906,0.19383465908301917,0.1647820244654766,0.10046079419012918,0.2272267176664466,0.12342081033965936,0,0.5208557568072283,0.854792243141084
35,0.12392073662247469,0.030620266725881775,0.12603407813644465,0.2898914435770299,0.23163772538123975,0.1978957495569292,0,0.5060567642122156,0.8634079620117635
36,0.4379107232564797,0.0417625616868831,0.03036664176583467,0.1659668105394995,0.21992318470559707,0.10407007804570591,0,0.5956746765229125,0.8028503482125098
37,0.17106791237821758,0,0.16094587072105668,0.2473715380940907,0.2819413105433504,0.13867336826328466,0,0.5607411813816917,0.8277676679962381
38,0.28885793721027914,0.1475974035956956,0.03992727397945034,0.19244533133662486,0.2729266360979826,0.058245417779967494,0,0.5422641097408782,0.8398089470246614
39,0.3062626238343367,0.003942833155934775,0.17154868142281637,0.15836379660581254,0.24217957982715735,0.11770248515394223,0,0.5477368806706395,0.8363129424668243
40,0.28715508421507924,0.17851540457736004,0.029270322458584377,0.13566024926186127,0.1832887546504383,0.18611018483667682,0,0.5424362378434434,0.8397369926816896
41,0.3454928510623415,0.25002357333372954,0,0.19596932030406003,0.1564465080038173,0.0520677472960516,0,0.4968396412291422,0.8678181813834978
42,0.196099127675861,0.02220283568869019,0.2564437230727224,0.18866115877303807,0.22027603809241195,0.11631711669727635,0,0.48913655373955106,0.8716511390030217
43,0.1771350070314441,0.14324207512283285,0.12398506313491682,0.17865787459943422,0.21951620340890393,0.15746377670246808,0,0.5155062053547953,0.8564505904331274
44,0.3093051392374206,0.05582200302228736,0,0.3828123908442464,0.23441761051176777,0.01764285638427784,0,0.4846798135411756,0.87565728446524
45,0.08255765470729992,0.2399898141053755,0.2087289224596297,0.20739591045419717,0.2613276982734978,0,0,0.43943867727503433,0.8977575527677256
46,0.20652268280468586,0.24750670829197263,0,0.14103372349610596,0.22775848599975504,0.1771783994074806,0,0.5223025186254961,0.8520925273644799
47,0.20068865044729522,0,0.3881661360897594,0.3141245198876514,0.0788946458245899,0.01812604775070402,0,0.4444184438705081,0.897067359782753
48,0.3645138868106156,0.028172536797318886,0.16228723433072115,0.053175294812906754,0.31334478557587864,0.07850626167255907,0,0.5049381552205251,0.8664788244791244
49,0.23142765811335334,0.1044796106318411,0.15056818106330444,0.22533206936432917,0.218506470727847,0.06968601009932497,0,0.4936050698332782,0.8695463823311245
50,0.2232770946270402,0.16248805606856895,0.0385105020484642,0.34324369901922624,0.17996667042471962,0.05251397781198071,0,0.5598015460323734,0.8329313811421752
51,0.18422079809612135,0.23847478424567894,0.0027822231373008975,0.3558168368734795,0.19828938262816598,0.020415975019253373,0,0.5016896406288054,0.8649325099512082
52,0.16208510669874746,0.02126810577978207,0.20838802904929796,0.23788040794707446,0.2382861668033757,0.13209218372172238,0,0.5331964111350063,0.846140754289157
53,0.24462180921254212,0.23817956700818946,0,0.25769473133045256,0.13813015191175484,0.12137374053706106,0,0.5383846020205126,0.8464144357117653
54,0.2690180531260934,0.11511845952468888,0.272287983793161,0.16644781762381827,0.08600173961690875,0.09112594631532964,0,0.5198172527698111,0.8633147327070481
55,0.17571494664033363,0.021208235189582286,0.22263780713950407,0.26793094301514475,0.2606277876385071,0.05188028037692823,0,0.5300147505085199,0.8487899000362085
56,0.11713668492344449,0.2685180140080742,0.10598004145087403,0.21683779875360215,0.16244006657952598,0.12908739428447924,0,0.5157534525300806,0.8606550055539265
57,0.08327249599784463,0.25194752552401717,0.13406427500630813,0.2034584023443417,0.16090166235213288,0.16635563877535542,0,0.5013552574586333,0.8660180869360017
58,0.1769634119675905,0.3354670292313589,0.03183054630202466,0.17589673312356102,0.17144239737126857,0.10839988200419638,0,0.49743207825651425,0.8702521923675346
59,0.4040948545935504,0.04789471707590048,0.03283777641663254,0.15954721738778674,0.23400223636026365,0.12162319816586611,0,0.5355469422397787,0.8448819870020878
60,0.18440795904318802,0.14125166978486992,0.03559981849195428,0.2982878643341041,0.2720899681037635,0.06836272024212015,0,0.4928325831343671,0.8694281055761428
61,0.2588273791132562,0.03561663444091225,0.24272346512209342,0.21650998980780203,0.17434034288639444,0.0719821886295416,0,0.5038572833974431,0.8657287757467186
62,0.13298335378396664,0.2657374791696693,0.1097395173802042,0.218575322586872,0.11577894781864638,0.15718537926064158,0,0.4996014483226478,0.8689469164184292
63,0.14839826076929358,0,0.15495607462923125,0.41685106985048803,0.24463523178484925,0.03515936296613786,0,0.5342767897051772,0.84470601107657
64,0.07700119592295143,0.05994397348493367,0.2692162148722297,0.2878131541355768,0.23386836761860838,0.07215709396570016,0,0.47310326100652095,0.8802563605536602
65,0.11417993434289106,0.4016926207319865,0.01626087190404475,0.21448853285102562,0.20580888847772644,0.04756915169232555,0,0.4608476836608833,0.8880714392281965
66,0.27582758584792555,0.03575156125937495,0.1371466490425603,0.21911264222512442,0.1685291744836167,0.16363238714139808,0,0.5187705470180363,0.8544115806676533
