"","col_names","B.cells.naive","B.cells.memory","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Neutrophils"
"1","X0","0","0.14262804901324","0.149188800700548","0","0.0301308369533413","0.0510429387396648","0.141675212507991","0","0.259297822710042","0.0533254943053162","0.0733965459309731","0","0.0435316566110033","0","0.0345051824799234","0.0212774600479571"
"2","X1","0.0339730827377721","0.0313573011642247","0.105964201478205","0.0439789767657551","0.191328098422031","0.0109147976563202","0.0238547155490262","0","0.241517449186817","0.098217606575635","0","0.127171963059471","0.0183189627274714","0.0236493111096312","0","0.0497535335676409"
"3","X2","0","0","0.178184011003042","0.162716138041694","0","0.105956481737189","0.0515814892571519","0","0.0928559519955955","0","0.017268986696109","0.055521815143728","0.134739335251768","0","0.1080709238983","0.0931048669754222"
"4","X3","0.060945262339169","0.10118045563166","0.0419616471564198","0.182533987869867","0.158456973084551","0.146989865050853","0.0823764068685595","0","0.0948715325492197","0","0","0","0.0585998170877387","0.040835684293989","0.031248368067974","0"
"5","X4","0","0.119450171794611","0.277377163339825","0.0509978568434744","0","0.0725453974165794","0.108420405359718","0","0.176834884502776","0","0.0388286524215406","0.0847875469282027","0.000162322065405548","0.0705955993278686","0","0"
"6","X5","0.182744336365237","0.23000722038562","0.161062443014149","0.00426740826602026","0.00396325930545682","0","0.0432976063277142","0.0722410141711074","0.161902432450247","0","0","0.140514279714448","0","0","0","0"
"7","X6","0.0657888606477836","0","0.139022889596716","0.064553048899417","0.0795583346139196","0","0.191622857603447","0","0.272823671993872","0.00745919721310419","0","0.170018134491579","0","0","0.0091530049401604","0"
"8","X7","0.0398000300566517","0.0233429494220622","0.00116417151953376","0.199428806658081","0.188951291079973","0.143977067061793","0.157743376585519","0","0.0715058643965379","0","0.00976055030845987","0","0.0651473777269446","0","0","0.0991785151844442"
"9","X8","0","0.114181771757708","0.050579102243874","0.072368159145945","0.0914380662619025","0.0498417765013965","0.10577811327666","0","0.237552830447038","0.0013216526428619","0","0.155674612512965","0","0.0101769163927439","0.111086998816905","0"
"10","X9","0","0","0.0912998172066207","0.136404606067902","0.125505560344336","0.0427575119077276","0.0515859026339876","0","0.314893433046801","0.108799120682018","0.00823225995771751","0","0.0894022895704458","0","0.00598359984484576","0.025135898737598"
"11","X10","0","0.132674124013765","0.123861157409236","0.074069130259496","0.143826307976509","0.0173476016402548","0","0","0.252986386334445","0.0518570126789414","0.0605550858108333","0","0.0756154011771251","0","0.0356769769441095","0.0315308157552851"
